english	简体中文	pinyin
colliding	碰撞	pèng zhuàng
collision theory	碰撞理论	pèng zhuàng lǐ lùn
coloured	有色	yǒu sè
combustion	燃烧	rán shāo
complete combustion	完全燃烧	wán quán rán shāo
compound	化合物	huà hé wù
compounds	化合物	huà hé wù
compress	压缩	yā suō
compromise	折中	zhé zhōng
concentrated	浓	nóng
concentration	浓度	nóng dù
condensation polymerisation	缩聚	suō jù
condensing	凝结	níng jié
Contact process	接触法	jiē chù fǎ
cooling curve	冷却曲线	lěng què qū xiàn
copper	铜	tóng
corrosion	腐蚀	fǔ shí
covalent bond	共价键	gòng jià jiàn
cracking	裂化	liè huà
cryolite	冰晶石	bīng jīng shí
crystallisation	结晶	jié jīng
crystallise	结晶	jié jīng
cutting tools	切割工具	qiē gē gōng jù
decomposition	分解	fēn jiě
delocalised electrons	离域电子	lí yù diàn zi
density	密度	mì dù
deoxygenation	缺氧	quē yǎng
diamond	金刚石	jīn gāng shí
diatomic	双原子	shuāng yuán zi
diffusion	扩散	kuò sàn
dilute	稀	xī
displacement reaction	置换反应	zhì huàn fǎn yìng
displayed formula	结构式	jié gòu shì
dissociated	电离	diàn lí
distilled water	蒸馏水	zhēng liú shuǐ
ductility	延性	yán xìng
electric current	电流	diàn liú
electrical conductivity	导电性	dǎo diàn xìng
electrode	电极	diàn jí
electrodes	电极	diàn jí
electrolysis	电解	diàn jiě
electrolyte	电解质	diàn jiě zhì
electrolytic cell	电解池	diàn jiě chí
electronic configuration	电子排布	diàn zi pái bù
electrons	电子	diàn zi
electroplating	电镀	diàn dù
electrostatic attraction	静电引力	jìng diàn yǐn lì
element	元素	yuán sù
elements	元素	yuán sù
empirical formula	实验式	shí yàn shì
end-point	终点	zhōng diǎn
endothermic	吸热反应	xī rè fǎn yìng
endothermic reaction	吸热反应	xī rè fǎn yìng
energy	能量	néng liàng
enthalpy change	焓变	hán biàn
enzymes	酶	méi
equilibrium	平衡	píng héng
ester	酯	zhǐ
ethanoic acid	乙酸	yǐ suān
ethanol	乙醇	yǐ chún
ethene	乙烯	yǐ xī
evaporate	蒸发	zhēng fā
evaporating	蒸发	zhēng fā
excess	过量	guò liàng
exothermic	放热反应	fàng rè fǎn yìng
exothermic reaction	放热反应	fàng rè fǎn yìng
external circuit	外电路	wài diàn lù
fermentation	发酵	fā jiào
fertilisers	肥料	féi liào
filter	过滤	guò lǜ
filtrate	滤液	lǜ yè
filtration	过滤	guò lǜ
flame test	焰色试验	yàn sè shì yàn
flue gas desulfurisation	烟气脱硫	yān qì tuō liú
forces of attraction	引力	yǐn lì
formula	化学式	huà xué shì
forward reaction	正反应	zhèng fǎn yìng
fossil fuels	化石燃料	huà shí rán liào
fractional distillation	分馏	fēn liú
fractionating column	分馏塔	fēn liú tǎ
fractions	馏分	liú fèn
freezing	凝固	níng gù
fuel cell	燃料电池	rán liào diàn chí
functional group	官能团	guān néng tuán
galvanising	镀锌	dù xīn
gas	气体	qì tǐ
gas syringe	注射器	zhù shè qì
general formula	通式	tōng shì
giant covalent structure	巨型共价结构	jù xíng gòng jià jié gòu
global warming	全球变暖	quán qiú biàn nuǎn
glucose	葡萄糖	pú táo táng
graphite	石墨	shí mò
greenhouse gases	温室气体	wēn shì qì tǐ
Group	族	zú
groups	族	zú
Haber process	哈伯法	hā bó fǎ
half-equation	半反应式	bàn fǎn yìng shì
halide	卤化物	lǔ huà wù
halogens	卤素	lǔ sù
heating curve	加热曲线	jiā rè qū xiàn
hematite	赤铁矿	chì tiě kuàng
homologous series	同系物	tóng xì wù
hydrated	水合	shuǐ hé
hydrocarbon	碳氢化合物	tàn qīng huà hé wù
hydrochloric acid	盐酸	yán suān
hydrogen	氢气	qīng qì
hydrogen chloride	氯化氢	lǜ huà qīng
hydroxides	氢氧化物	qīng yǎng huà wù
impurities	杂质	zá zhì
incomplete combustion	不完全燃烧	bù wán quán rán shāo
indicator	指示剂	zhǐ shì jì
inert	惰性	duò xìng
insoluble	不溶	bù róng
intermolecular forces	分子间作用力	fèn zǐ jiàn zuò yòng lì
iodide	碘化物	diǎn huà wù
iodine	碘	diǎn
ion	离子	lí zi
ionic bond	离子键	lí zi jiàn
ionic compound	离子化合物	lí zi huà hé wù
ionic equation	离子方程式	lí zi fāng chéng shì
ions	离子	lí zi
iron	铁	tiě
isotopes	同位素	tóng wèi sù
kinetic energy	动能	dòng néng
kinetic particle theory	粒子动理论	lì zi dòng lǐ lùn
landfill	填埋	tián mái
lattice	晶格	jīng gé
layers	层	céng
lead	铅	qiān
limestone	石灰石	shí huī shí
limewater	石灰水	shí huī shuǐ
limiting reactant	限量反应物	xiàn liàng fǎn yìng wù
liquid	液体	yè tǐ
lithium	锂	lǐ
litmus	石蕊	shí ruǐ
locating agent	显色剂	xiǎn sè jì
lubricant	润滑剂	rùn huá jì
magnesium	镁	měi
malleability	展性	zhǎn xìng
mass	质量	zhì liàng
mass number	质量数	zhì liàng shù
measuring cylinder	量筒	liáng tǒng
melting	熔化	róng huà
melting point	熔点	róng diǎn
metal	金属	jīn shǔ
metallic bonding	金属键	jīn shǔ jiàn
metals	金属	jīn shǔ
methane	甲烷	jiǎ wán
methyl orange	甲基橙	jiǎ jī chéng
microbes	微生物	wēi shēng wù
minerals	矿物质	kuàng wù zhì
mixture	混合物	hùn hé wù
molar gas volume	摩尔气体体积	mó ěr qì tǐ tǐ jī
molar mass	摩尔质量	mó ěr zhì liàng
mole	摩尔	mó ěr
molecular formula	分子式	fēn zǐ shì
molecule	分子	fèn zǐ
molecules	分子	fèn zǐ
molten	熔融	róng róng
monatomic	单原子	dān yuán zi
monomers	单体	dān tǐ
motion	运动	yùn dòng
natural gas	天然气	tiān rán qì
neutral	中性	zhōng xìng
neutralisation	中和	zhōng hé
neutrons	中子	zhōng zi
nickel	镍	niè
nitrate	硝酸盐	xiāo suān yán
nitrates	硝酸盐	xiāo suān yán
nitric acid	硝酸	xiāo suān
nitrogen	氮气	dàn qì
noble gases	稀有气体	xī yǒu qì tǐ
non-metal	非金属	fēi jīn shǔ
non-metals	非金属	fēi jīn shǔ
nucleon number	核子数	hé zǐ shù
nucleus	原子核	yuán zǐ hé
nylon	尼龙	ní lóng
ore	矿石	kuàng shí
oxidation	氧化	yǎng huà
oxidation number	氧化数	yǎng huà shù
oxidation numbers	氧化数	yǎng huà shù
oxide	氧化物	yǎng huà wù
oxide layer	氧化层	yǎng huà céng
oxides	氧化物	yǎng huà wù
oxides of nitrogen	氮氧化物	dàn yǎng huà wù
oxidising agent	氧化剂	yǎng huà jì
oxygen	氧气	yǎng qì
paper chromatography	纸色谱法	zhǐ sè pǔ fǎ
particles	粒子	lì zi
particulates	颗粒物	kē lì wù
percentage composition by mass	质量分数	zhì liàng fēn shù
percentage purity	纯度	chún dù
percentage yield	产率	chǎn lǜ
Period	周期	zhōu qī
Periodic Table	周期表	zhōu qī biǎo
periods	周期	zhōu qī
petroleum	石油	shí yóu
phosphates	磷酸盐	lín suān yán
phosphorus	磷	lín
photochemical reaction	光化学反应	guāng huà xué fǎn yìng
photochemical smog	光化学烟雾	guāng huà xué yān wù
photosynthesis	光合作用	guāng hé zuò yòng
physical change	物理变化	wù lǐ biàn huà
plastics	塑料	sù liào
platinum	铂	bó
pollutants	污染物	wū rǎn wù
polyamides	聚酰胺	jù xiān àn
polyesters	聚酯	jù zhǐ
polymer	聚合物	jù hé wù
position of equilibrium	平衡位置	píng héng wèi zhì
potassium	钾	jiǎ
potassium iodide	碘化钾	diǎn huà jiǎ
potassium manganate(VII)	高锰酸钾	gāo měng suān jiǎ
precipitate	沉淀	chén diàn
precipitation	沉淀	chén diàn
pressure	压强	yā qiáng
products	生成物	shēng chéng wù
proteins	蛋白质	dàn bái zhì
proton	质子	zhì zi
proton number	质子数	zhì zi shù
protons	质子	zhì zi
rate	速率	sù lǜ
rate of reaction	反应速率	fǎn yìng sù lǜ
ratio	比例	bǐ lì
reactants	反应物	fǎn yìng wù
reaction pathway diagram	反应进程图	fǎn yìng jìn chéng tú
reactivity	活泼性	huó pō xìng
reactivity series	金属活动性顺序	jīn shǔ huó dòng xìng shùn xù
redox reaction	氧化还原反应	yǎng huà huán yuán fǎn yìng
reducing agent	还原剂	huán yuán jì
reduction	还原	huán yuán
regular	规则	guī zé
relative atomic mass	相对原子质量	xiāng duì yuán zi zhì liàng
relative formula mass	相对式量	xiāng duì shì liàng
relative molecular mass	相对分子质量	xiāng duì fèn zǐ zhì liàng
renewable energy	可再生能源	kě zài shēng néng yuán
repeat unit	重复单元	chóng fù dān yuán
residue	残渣	cán zhā
respiratory	呼吸	hū xī
reverse reaction	逆反应	nì fǎn yìng
reversible reaction	可逆反应	kě nì fǎn yìng
rust	铁锈	tiě xiù
rusting	生锈	shēng xiù
sacrificial protection	牺牲保护	xī shēng bǎo hù
salt	盐	yán
saturated	饱和	bǎo hé
saturated solution	饱和溶液	bǎo hé róng yè
sedimentation	沉降	chén jiàng
separation	间距	jiān jù
sewage	污水	wū shuǐ
shells	电子层	diàn zi céng
silicon(IV) oxide	二氧化硅	èr yǎng huà guī
silver nitrate	硝酸银	xiāo suān yín
simple distillation	蒸馏	zhēng liú
slag	炉渣	lú zhā
sodium	钠	nà
sodium hydroxide	氢氧化钠	qīng yǎng huà nà
soft	柔软	róu ruǎn
solid	固体	gù tǐ
soluble	可溶	kě róng
solute	溶质	róng zhì
solution	溶液	róng yè
solvent	溶剂	róng jì
spectator ions	旁观离子	páng guān lí zi
stainless steel	不锈钢	bù xiù gāng
state symbols	状态符号	zhuàng tài fú hào
steam	蒸汽	zhēng qì
stoichiometry	化学计量	huà xué jì liàng
stop-watch	秒表	miǎo biǎo
strong acid	强酸	qiáng suān
structural formula	结构简式	jié gòu jiǎn shì
structural isomers	同分异构体	tóng fēn yì gòu tǐ
substitution reaction	取代反应	qǔ dài fǎn yìng
sulfate	硫酸盐	liú suān yán
sulfates	硫酸盐	liú suān yán
sulfite	亚硫酸盐	yà liú suān yán
sulfur	硫	liú
sulfuric acid	硫酸	liú suān
surface area	表面积	biǎo miàn jī
surroundings	环境	huán jìng
symbol equation	化学方程式	huà xué fāng chéng shì
syringe	注射器	zhù shè qì
thermal conductivity	导热性	dǎo rè xìng
thermal energy	热能	rè néng
thermometer	温度计	wēn dù jì
thymolphthalein	百里酚酞	bǎi lǐ fēn tài
titration	滴定	dī dìng
toxic	有毒	yǒu dú
transition elements	过渡元素	guò dù yuán sù
trends	趋势	qū shì
ultraviolet light	紫外线	zǐ wài xiàn
universal indicator	通用指示剂	tōng yòng zhǐ shì jì
unreactive	不活泼	bù huó pō
unsaturated	不饱和	bù bǎo hé
vanadium(V) oxide	五氧化二钒	wǔ yǎng huà èr fán
variable	可变	kě biàn
vibrate	振动	zhèn dòng
vinegar	醋	cù
viscosity	黏度	nián dù
volatility	挥发性	huī fā xìng
volume	体积	tǐ jī
volumetric pipette	移液管	yí yè guǎn
water of crystallisation	结晶水	jié jīng shuǐ
weak acid	弱酸	ruò suān
word equation	文字方程式	wén zì fāng chéng shì
yeast	酵母	jiào mǔ
zinc	锌	xīn
