english	简体中文	pinyin
soft-iron core	软铁芯	ruǎn tiě xīn
Solar System	太阳系	tài yáng xì
solenoid	螺线管	luó xiàn guǎn
solid	固体	gù tǐ
solidification	凝固	níng gù
sound	声音	shēng yīn
south pole	南极	nán jí
specific heat capacity	比热容	bǐ rè róng
spectrum	光谱	guāng pǔ
speed	速率	sù lǜ
speed–time graph	速度-时间图	sù dù - shí jiān tú
split-ring commutator	换向器	huàn xiàng qì
spontaneous	自发	zì fā
spring constant	弹簧常数	tán huáng cháng shù
stable	稳定	wěn dìng
star	恒星	héng xīng
states of matter	物态	wù tài
steel	钢	gāng
step-down	降压	jiàng yā
step-up	升压	shēng yā
sterilise	消毒	xiāo dú
stored	储存	chǔ cún
Sun	太阳	tài yáng
supernova	超新星	chāo xīn xīng
switch	开关	kāi guān
temperature	温度	wēn dù
temporary magnet	临时磁体	lín shí cí tǐ
terminal velocity	终极速度	zhōng jí sù dù
thermal conductor	热导体	rè dǎo tǐ
thermal expansion	热膨胀	rè péng zhàng
thermal insulator	热绝缘体	rè jué yuán tǐ
thermal radiation	热辐射	rè fú shè
thermistor	热敏电阻	rè mǐn diàn zǔ
tilted	倾斜	qīng xié
total internal reflection	全反射	quán fǎn shè
total resistance	总电阻	zǒng diàn zǔ
transfer of thermal energy	热能传递	rè néng chuán dì
transferred	转移	zhuǎn yí
transformer	变压器	biàn yā qì
transverse wave	横波	héng bō
trip switch	跳闸开关	tiào zhá kāi guān
trough	波谷	bō gǔ
turning effect	转动效应	zhuǎn dòng xiào yìng
ultraviolet	紫外线	zǐ wài xiàn
uncertainty	不确定度	bù què dìng dù
Universe	宇宙	yǔ zhòu
unmagnetised	未磁化	wèi cí huà
unstable	不稳定	bù wěn dìng
vacuum	真空	zhēn kōng
variable resistor	可变电阻器	kě biàn diàn zǔ qì
vector	矢量	shǐ liàng
velocity	速度	sù dù
vibrate	振动	zhèn dòng
virtual image	虚像	xū xiàng
volt	伏特	fú tè
voltmeter	电压表	diàn yā biǎo
wasted	浪费	làng fèi
watt	瓦特	wǎ tè
wave	波	bō
wave speed	波速	bō sù
wavefront	波前	bō qián
wavelength	波长	bō cháng
weight	重力	zhòng lì
white dwarf	白矮星	bái ǎi xīng
work done	做功	zuò gōng
X-rays	X射线	X shè xiàn
