english	简体中文	pinyin
linker	链接器	liàn jiē qì
local variable	局部变量	jú bù biàn liàng
logic circuit	逻辑电路	luó jí diàn lù
logic expression	逻辑表达式	luó jí biǎo dá shì
logic gate	逻辑门	luó jí mén
logical binary shift	逻辑二进制移位	luó jí èr jìn zhì yí wèi
loop	循环	xún huán
lossless	无损	wú sǔn
lossy	有损	yǒu sǔn
low-level language	低级语言	dī jí yǔ yán
lower case	小写	xiǎo xiě
machine code	机器码	jī qì mǎ
magnetic storage	磁存储	cí cún chǔ
maintainable	可维护的	kě wéi hù de
malware	恶意软件	è yì ruǎn jiàn
maximum	最大值	zuì dà zhí
meaningful identifiers	有意义的标识符	yǒu yì yì de biāo shí fú
mechanical	机械的	jī xiè de
media access control	介质访问控制	jiè zhì fǎng wèn kòng zhì
memory	内存	nèi cún
memory address	内存地址	nèi cún dì zhǐ
memory address register	内存地址寄存器	nèi cún dì zhǐ jì cún qì
memory data register	内存数据寄存器	nèi cún shù jù jì cún qì
microprocessor	微处理器	wēi chǔ lǐ qì
minimum	最小值	zuì xiǎo zhí
most significant bit	最高有效位	zuì gāo yǒu xiào wèi
multitasking	多任务处理	duō rèn wù chǔ lǐ
NAND gate	与非门	yǔ fēi mén
narrow AI	弱人工智能	ruò rén gōng zhì néng
natural language processing	自然语言处理	zì rán yǔ yán chǔ lǐ
nested statement	嵌套语句	qiàn tào yǔ jù
network interface card	网络接口卡	wǎng luò jiē kǒu kǎ
nibble	半字节	bàn zì jié
non-volatile	非易失性	fēi yì shī xìng
NOR gate	或非门	huò fēi mén
normal	正常数据	zhèng cháng shù jù
NOT gate	非门	fēi mén
number system	数制	shù zhì
one-dimensional (1D) array	一维数组	yī wéi shù zǔ
operating system	操作系统	cāo zuò xì tǒng
optical mouse	光电鼠标	guāng diàn shǔ biāo
optical storage	光存储	guāng cún chǔ
OR gate	或门	huò mén
output	输出	shū chū
overflow	溢出	yì chū
packet header	包头	bāo tóu
packet switching	数据包交换	shù jù bāo jiāo huàn
packets	数据包	shù jù bāo
parallel	并行	bìng xíng
parameter	参数	cān shù
parity bit	奇偶校验位	jī ǒu jiào yàn wèi
parity check	奇偶校验	jī ǒu jiào yàn
password	密码	mì mǎ
payload	有效载荷	yǒu xiào zài hè
peripherals	外围设备	wài wéi shè bèi
persistent	持久	chí jiǔ
pharming	域名欺骗	yù míng qī piàn
phishing	网络钓鱼	wǎng luò diào yú
physical	物理的	wù lǐ de
physical structure	物理结构	wù lǐ jié gòu
pixel	像素	xiàng sù
place value	位值	wèi zhí
plaintext	明文	míng wén
platform	平台	píng tái
post-condition loop	后测循环	hòu cè xún huán
pre-condition loop	前测循环	qián cè xún huán
presence check	存在性检查	cún zài xìng jiǎn chá
prettyprinting	美化打印	měi huà dǎ yìn
primary key	主键	zhǔ jiàn
primary storage	主存储器	zhǔ cún chǔ qì
privacy settings	隐私设置	yǐn sī shè zhì
private key	私钥	sī yào
problem statement	问题陈述	wèn tí chén shù
procedure	过程	guò chéng
processing	处理	chǔ lǐ
processor	处理器	chǔ lǐ qì
program counter	程序计数器	chéng xù jì shù qì
program development life cycle	程序开发生命周期	chéng xù kāi fā shēng mìng zhōu qī
programmable instructions	可编程指令	kě biān chéng zhǐ lìng
programming language	编程语言	biān chéng yǔ yán
programs	程序	chéng xù
projector	投影仪	tóu yǐng yí
proxy server	代理服务器	dài lǐ fú wù qì
pseudocode	伪代码	wěi dài mǎ
public key	公钥	gōng yào
QR code scanner	二维码扫描器	èr wéi mǎ sǎo miáo qì
query	查询	chá xún
random access memory	随机存取存储器	suí jī cún qǔ cún chǔ qì
range check	范围检查	fàn wéi jiǎn chá
ransomware	勒索软件	lè suǒ ruǎn jiàn
read only memory	只读存储器	zhī dú cún chǔ qì
real	实数	shí shù
reason	推理	tuī lǐ
record	记录	jì lù
register	寄存器	jì cún qì
registers	寄存器	jì cún qì
remainder	余数	yú shù
rendering	渲染	xuàn rǎn
resistive	电阻式	diàn zǔ shì
resolution	分辨率	fēn biàn lǜ
robotics	机器人技术	jī qì rén jì shù
robots	机器人	jī qì rén
router	路由器	lù yóu qì
routers	路由器	lù yóu qì
rules	规则	guī zé
run time environment	运行时环境	yùn xíng shí huán jìng
run-length encoding	行程编码	xíng chéng biān mǎ
sample rate	采样率	cǎi yàng lǜ
sample resolution	采样分辨率	cǎi yàng fēn biàn lǜ
sampling	采样	cǎi yàng
secondary storage	辅助存储器	fǔ zhù cún chǔ qì
selection	选择	xuǎn zé
self-driving cars	自动驾驶汽车	zì dòng jià shǐ qì chē
sensor	传感器	chuán gǎn qì
sensors	传感器	chuán gǎn qì
sequence	顺序	shùn xù
serial	串行	chuàn xíng
session	会话	huì huà
simplex	单工	dān gōng
simulation	模拟	mó nǐ
single-table database	单表数据库	dān biǎo shù jù kù
social engineering	社会工程	shè huì gōng chéng
software	软件	ruǎn jiàn
solid state storage	固态存储	gù tài cún chǔ
sound wave	声波	shēng bō
speaker	扬声器	yáng shēng qì
specific	特定的	tè dìng de
spreadsheet	电子表格	diàn zi biǎo gé
spyware	间谍软件	jiàn dié ruǎn jiàn
storage	存储	cún chǔ
stored values	存储值	cún chǔ zhí
string	字符串	zì fú chuàn
strong AI	强人工智能	qiǎng rén gōng zhì néng
structure diagram	结构图	jié gòu tú
structured query language	结构化查询语言	jié gòu huà chá xún yǔ yán
sub-systems	子系统	zi xì tǒng
substring	子串	zi chuàn
symmetric encryption	对称加密	duì chèn jiā mì
system software	系统软件	xì tǒng ruǎn jiàn
test data	测试数据	cè shì shù jù
testing	测试	cè shì
text/alphanumeric	文本	wén běn
timeout	超时	chāo shí
timestamp	时间戳	shí jiān chuō
totalling	求和	qiú hé
touch screen	触摸屏	chù mō píng
trace table	追踪表	zhuī zōng biǎo
trailer	尾部	wěi bù
transaction	交易	jiāo yì
translator	翻译程序	fān yì chéng xù
transmission	传输	chuán shū
transposition error	换位错误	huàn wèi cuò wù
Trojan horse	特洛伊木马	tè luò yī mù mǎ
truth table	真值表	zhēn zhí biǎo
two's complement	补码	bǔ mǎ
two-dimensional (2D) array	二维数组	èr wéi shù zǔ
two-step verification	两步验证	liǎng bù yàn zhèng
type check	类型检查	lèi xíng jiǎn chá
uniform resource locator	统一资源定位符	tǒng yī zī yuán dìng wèi fú
unique	唯一的	wéi yī de
universal serial bus	通用串行总线	tōng yòng chuàn xíng zǒng xiàn
upper case	大写	dà xiě
user interface	用户界面	yòng hù jiè miàn
user preferences	用户偏好	yòng hù piān hǎo
utility software	实用程序	shí yòng chéng xù
vacuum cleaner	吸尘器	xī chén qì
validation	验证	yàn zhèng
variable	变量	biàn liàng
verification	核实	hé shí
virtual memory	虚拟内存	xū nǐ nèi cún
virus	病毒	bìng dú
visual check	目视检查	mù shì jiǎn chá
volatile	易失性	yì shī xìng
web browser	网页浏览器	wǎng yè liú lǎn qì
web server	网络服务器	wǎng luò fú wù qì
websites	网站	wǎng zhàn
word processing	文字处理	wén zì chǔ lǐ
world wide web	万维网	wàn wéi wǎng
worm	蠕虫	rú chóng
XOR gate	异或门	yì huò mén
