english	简体中文	pinyin
catalyst	催化剂	cuī huà jì
catalytic converter	催化转化器	cuī huà zhuǎn huà qì
cathode	阴极	yīn jí
cation	阳离子	yáng lí zi
chain isomerism	链异构	liàn yì gòu
chemical environment	化学环境	huà xué huán jìng
chemical properties	化学性质	huà xué xìng zhì
chemical shift	化学位移	huà xué wèi yí
chiral	手性	shǒu xìng
chiral catalyst	手性催化剂	shǒu xìng cuī huà jì
chiral centre	手性中心	shǒu xìng zhōng xīn
chirality	手性	shǒu xìng
chromatography	色谱	sè pǔ
cis	顺式	shùn shì
closed system	封闭系统	fēng bì xì tǒng
collide	碰撞	pèng zhuàng
collision frequency	碰撞频率	pèng zhuàng pín lǜ
combustion	燃烧	rán shāo
common ion effect	同离子效应	tóng lí zi xiào yìng
complementary colour	互补色	hù bǔ sè
complete combustion	完全燃烧	wán quán rán shāo
complex	配合物	pèi hé wù
complex ion	配离子	pèi lí zi
compound	化合物	huà hé wù
concentration	浓度	nóng dù
condensation	缩合	suō hé
condensation polymerisation	缩合聚合	suō hé jù hé
conjugate acid	共轭酸	gòng è suān
conjugate acid–base pair	共轭酸碱对	gòng è suān jiǎn duì
conjugate base	共轭碱	gòng è jiǎn
Contact process	接触法	jiē chù fǎ
coordinate bond	配位键	pèi wèi jiàn
coordination number	配位数	pèi wèi shù
covalent bonding	共价键	gòng jià jiàn
covalent bonds	共价键	gòng jià jiàn
cracking	裂化	liè huà
crude oil	原油	yuán yóu
crystalline solid	晶体	jīng tǐ
curly arrow	弯箭头	wān jiàn tóu
cyclic	环状	huán zhuàng
dative covalent bond	配位键	pèi wèi jiàn
deflection	偏转	piān zhuǎn
degenerate	简并	jiǎn bìng
dehydration	脱水	tuō shuǐ
delocalisation	离域	lí yù
delocalised	离域	lí yù
delocalised electrons	离域电子	lí yù diàn zi
density	密度	mì dù
desorption	脱附	tuō fù
deuterated solvent	氘代溶剂	dāo dài róng jì
diamine	二胺	èr àn
diamond	金刚石	jīn gāng shí
diazonium salt	重氮盐	zhòng dàn yán
dicarboxylic acid	二羧酸	èr suō suān
diol	二醇	èr chún
dipeptide	二肽	èr tài
dipole	偶极	ǒu jí
dipole moment	偶极矩	ǒu jí jǔ
directing effect	定位效应	dìng wèi xiào yìng
displacement	置换	zhì huàn
displayed formula	展开式	zhǎn kāi shì
disproportionation	歧化	qí huà
dissociated	解离	jiě lí
distillation	蒸馏	zhēng liú
dot-and-cross diagram	点叉图	diǎn chā tú
doublet	双峰	shuāng fēng
dye	染料	rǎn liào
dynamic equilibrium	动态平衡	dòng tài píng héng
effective collision	有效碰撞	yǒu xiào pèng zhuàng
electric field	电场	diàn chǎng
electrical conductivity	导电性	dǎo diàn xìng
electrode	电极	diàn jí
electrode potential	电极电势	diàn jí diàn shì
electrolysis	电解	diàn jiě
electrolyte	电解质	diàn jiě zhì
electron	电子	diàn zi
electron affinity	电子亲和能	diàn zi qīn hé néng
electron transfer	电子转移	diàn zi zhuǎn yí
electron-withdrawing	吸电子	xī diàn zi
electronegativity	电负性	diàn fù xìng
electronic configuration	电子排布	diàn zi pái bù
electrophile	亲电试剂	qīn diàn shì jì
electrophilic addition	亲电加成	qīn diàn jiā chéng
electrophilic substitution	亲电取代	qīn diàn qǔ dài
electrophoresis	电泳	diàn yǒng
electrostatic attraction	静电引力	jìng diàn yǐn lì
elimination	消去	xiāo qù
empirical formula	实验式	shí yàn shì
enantiomers	对映体	duì yìng tǐ
endothermic	吸热	xī rè
energy cycle	能量循环	néng liàng xún huán
enthalpy change	焓变	hán biàn
enthalpy change of atomisation	原子化焓变	yuán zi huà hán biàn
enthalpy change of combustion	燃烧焓变	rán shāo hán biàn
enthalpy change of formation	生成焓变	shēng chéng hán biàn
enthalpy change of hydration	水合焓变	shuǐ hé hán biàn
enthalpy change of neutralisation	中和焓变	zhōng hé hán biàn
enthalpy change of reaction	反应焓变	fǎn yìng hán biàn
enthalpy change of solution	溶解焓变	róng jiě hán biàn
entropy	熵	shāng
entropy change	熵变	shāng biàn
equilibrium	平衡	píng héng
equilibrium constant	平衡常数	píng héng cháng shù
ester	酯	zhǐ
esterification	酯化	zhǐ huà
excess reagent	过量试剂	guò liàng shì jì
exhaust gases	尾气	wěi qì
exothermic	放热	fàng rè
expand the octet	扩展八隅体	kuò zhǎn bā yú tǐ
Faraday constant	法拉第常量	fǎ lā dì cháng liàng
feasibility	可行性	kě xíng xìng
Fehling's reagent	斐林试剂	fěi lín shì jì
first ionisation energy	第一电离能	dì yī diàn lí néng
forward reaction	正反应	zhèng fǎn yìng
fraction	馏分	liú fèn
fragment	碎片	suì piàn
fragmentation	碎裂	suì liè
free radical	自由基	zì yóu jī
free-radical substitution	自由基取代	zì yóu jī qǔ dài
Friedel–Crafts acylation	傅克酰基化	fù kè xiān jī huà
Friedel–Crafts alkylation	傅克烷基化	fù kè wán jī huà
fullerene	富勒烯	fù lēi xī
functional group	官能团	guān néng tuán
functional group isomerism	官能团异构	guān néng tuán yì gòu
gas constant	气体常量	qì tǐ cháng liàng
gas/liquid chromatography	气液色谱	qì yè sè pǔ
general formula	通式	tōng shì
geometrical isomerism	几何异构	jǐ hé yì gòu
giant ionic	离子晶体	lí zi jīng tǐ
giant metallic	金属晶体	jīn shǔ jīng tǐ
giant molecular	原子晶体	yuán zi jīng tǐ
Gibbs free energy	吉布斯自由能	jí bù sī zì yóu néng
graphite	石墨	shí mò
ground state	基态	jī tài
group	族	zú
Haber process	哈伯法	hā bó fǎ
half-equation	半反应方程式	bàn fǎn yìng fāng chéng shì
half-life	半衰期	bàn shuāi qī
halide ion	卤离子	lǔ lí zi
halogen	卤素	lǔ sù
halogenoalkane	卤代烷	lǔ dài wán
halogenoarene	卤代芳烃	lǔ dài fāng tīng
Hess's law	盖斯定律	gài sī dìng lǜ
heterogeneous catalyst	多相催化剂	duō xiāng cuī huà jì
heterolytic fission	异裂	yì liè
homogeneous catalyst	均相催化剂	jūn xiāng cuī huà jì
homologous series	同系列	tóng xì liè
homolytic fission	均裂	jūn liè
hybridisation	杂化	zá huà
hydrated	水合的	shuǐ hé de
hydrocarbon	碳氢化合物	tàn qīng huà hé wù
hydrocarbons	碳氢化合物	tàn qīng huà hé wù
hydrogen bonding	氢键	qīng jiàn
hydrogen cyanide	氰化氢	qíng huà qīng
hydrogen halide	卤化氢	lǔ huà qīng
hydrogenation	氢化	qīng huà
hydrolysis	水解	shuǐ jiě
hydroxide	氢氧化物	qīng yǎng huà wù
hydroxynitrile	羟基腈	qiǎng jī jīng
ideal gas	理想气体	lǐ xiǎng qì tǐ
ideal gas equation	理想气体方程	lǐ xiǎng qì tǐ fāng chéng
incomplete combustion	不完全燃烧	bù wán quán rán shāo
indicator	指示剂	zhǐ shì jì
induced dipole	诱导偶极	yòu dǎo ǒu jí
inductive effect	诱导效应	yòu dǎo xiào yìng
infrared spectroscopy	红外光谱	hóng wài guāng pǔ
initial rate	初始速率	chū shǐ sù lǜ
initiation	引发	yǐn fā
instantaneous dipole	瞬时偶极	shùn shí ǒu jí
intermediate	中间体	zhōng jiān tǐ
intermolecular forces	分子间作用力	fèn zǐ jiàn zuò yòng lì
internal combustion engine	内燃机	nèi rán jī
ion	离子	lí zi
ionic bonding	离子键	lí zi jiàn
ionic compound	离子化合物	lí zi huà hé wù
ionic equation	离子方程式	lí zi fāng chéng shì
ionic product of water	水的离子积	shuǐ de lí zi jī
ionic radius	离子半径	lí zi bàn jìng
isoelectric point	等电点	děng diàn diǎn
isomerism	异构	yì gòu
isotope	同位素	tóng wèi sù
isotopic abundance	同位素丰度	tóng wèi sù fēng dù
kelvin	开尔文	kāi ěr wén
ketone	酮	tóng
lattice	晶格	jīng gé
lattice energy	晶格能	jīng gé néng
Le Chatelier's principle	勒夏特列原理	lēi xià tè liè yuán lǐ
ligand	配体	pèi tǐ
ligand exchange	配体交换	pèi tǐ jiāo huàn
limiting reagent	限量试剂	xiàn liàng shì jì
linear	直线形	zhí xiàn xíng
London dispersion forces	伦敦色散力	lún dūn sè sàn lì
lone pair	孤对电子	gū duì diàn zi
Markovnikov's rule	马氏规则	mǎ shì guī zé
mass number	质量数	zhì liàng shù
mass spectrometry	质谱	zhì pǔ
mass-to-charge ratio	质荷比	zhì hé bǐ
melting point	熔点	róng diǎn
metallic bonding	金属键	jīn shǔ jiàn
mobile phase	流动相	liú dòng xiāng
molar mass	摩尔质量	mó ěr zhì liàng
mole	摩尔	mó ěr
mole fraction	摩尔分数	mó ěr fēn shù
molecular formula	分子式	fēn zǐ shì
molecular ion	分子离子	fèn zǐ lí zi
molecular ion peak	分子离子峰	fèn zǐ lí zi fēng
molecule	分子	fèn zǐ
monodentate	单齿	dān chǐ
monomer	单体	dān tǐ
multiplet	多重峰	duō zhòng fēng
Nernst equation	能斯特方程	néng sī tè fāng chéng
neutral	中性	zhōng xìng
neutralisation	中和	zhōng hé
neutron	中子	zhōng zi
nitrate	硝酸盐	xiāo suān yán
nitration	硝化	xiāo huà
nitrile	腈	jīng
NMR	核磁共振	hé cí gòng zhèn
noble gas	稀有气体	xī yǒu qì tǐ
nomenclature	命名法	mìng míng fǎ
non-biodegradable	不可生物降解	bù kě shēng wù jiàng jiě
non-degenerate	非简并	fēi jiǎn bìng
non-effective collision	无效碰撞	wú xiào pèng zhuàng
nuclear charge	核电荷	hé diàn hè
nucleon	核子	hé zǐ
nucleon number	核子数	hé zǐ shù
nucleophile	亲核试剂	qīn hé shì jì
nucleophilic addition	亲核加成	qīn hé jiā chéng
nucleophilic substitution	亲核取代	qīn hé qǔ dài
nucleus	原子核	yuán zǐ hé
octahedral	八面体形	bā miàn tǐ xíng
optical isomerism	旋光异构	xuán guāng yì gòu
optically active	旋光活性	xuán guāng huó xìng
orbital	轨道	guǐ dào
order of reaction	反应级数	fǎn yìng jí shù
overall order of reaction	总反应级数	zǒng fǎn yìng jí shù
overlap	重叠	chóng dié
oxidation	氧化	yǎng huà
oxidation number	氧化数	yǎng huà shù
oxidation state	氧化态	yǎng huà tài
oxide	氧化物	yǎng huà wù
oxidising agent	氧化剂	yǎng huà jì
partial pressure	分压	fēn yā
partition coefficient	分配系数	fēn pèi xì shù
Pauling electronegativity	鲍林电负性	bào lín diàn fù xìng
peptide bond	肽键	tài jiàn
percentage yield	产率	chǎn lǜ
period	周期	zhōu qī
periodicity	周期性	zhōu qī xìng
permanent dipole	永久偶极	yǒng jiǔ ǒu jí
phenol	苯酚	běn fēn
phenylamine	苯胺	běn àn
photochemical smog	光化学烟雾	guāng huà xué yān wù
physical properties	物理性质	wù lǐ xìng zhì
pi bond	π键	π jiàn
planar	平面	píng miàn
plane polarised light	平面偏振光	píng miàn piān zhèn guāng
polarisation	极化	jí huà
polarity	极性	jí xìng
poly(alkene)	聚烯烃	jù xī tīng
poly(chloroethene)	聚氯乙烯	jù lǜ yǐ xī
poly(ethene)	聚乙烯	jù yǐ xī
polyamide	聚酰胺	jù xiān àn
polydentate	多齿	duō chǐ
polyester	聚酯	jù zhǐ
polymer	聚合物	jù hé wù
positional isomerism	位置异构	wèi zhì yì gòu
precipitate	沉淀	chén diàn
pressure	压强	yā qiáng
primary	伯	bó
principal quantum number	主量子数	zhǔ liàng zǐ shù
propagation	增长	zēng zhǎng
proton	质子	zhì zi
proton acceptor	质子受体	zhì zi shòu tǐ
proton donor	质子供体	zhì zi gōng tǐ
proton number	质子数	zhì zi shù
pyramidal	三角锥形	sān jiǎo zhuī xíng
quartet	四峰	sì fēng
racemic mixture	外消旋混合物	wài xiāo xuán hùn hé wù
rate constant	速率常数	sù lǜ cháng shù
rate equation	速率方程	sù lǜ fāng chéng
rate of reaction	反应速率	fǎn yìng sù lǜ
rate-determining step	决速步骤	jué sù bù zhòu
reaction mechanism	反应机理	fǎn yìng jī lǐ
reaction pathway diagram	反应路径图	fǎn yìng lù jìng tú
reactivity	反应活性	fǎn yìng huó xìng
reagent	试剂	shì jì
real gas	实际气体	shí jì qì tǐ
redox	氧化还原	yǎng huà huán yuán
reducing agent	还原剂	huán yuán jì
reduction	还原	huán yuán
reflux	回流	huí liú
relative atomic mass	相对原子质量	xiāng duì yuán zi zhì liàng
relative charge	相对电荷	xiāng duì diàn hè
relative formula mass	相对式量	xiāng duì shì liàng
relative isotopic mass	相对同位素质量	xiāng duì tóng wèi sù zhì liàng
relative mass	相对质量	xiāng duì zhì liàng
relative molecular mass	相对分子质量	xiāng duì fèn zǐ zhì liàng
repeat unit	重复单元	chóng fù dān yuán
repulsion	排斥	pái chì
restricted rotation	受限旋转	shòu xiàn xuán zhuǎn
retention time	保留时间	bǎo liú shí jiān
reverse reaction	逆反应	nì fǎn yìng
reversible reaction	可逆反应	kě nì fǎn yìng
salt	盐	yán
saturated	饱和	bǎo hé
secondary	仲	zhòng
shell	壳层	ké céng
shielding	屏蔽	píng bì
side-chain	侧链	cè liàn
sigma bond	σ键	σ jiàn
significant figures	有效数字	yǒu xiào shù zì
silicon(IV) oxide	二氧化硅	èr yǎng huà guī
silver nitrate	硝酸银	xiāo suān yín
simple molecular	分子晶体	fēn zǐ jīng tǐ
singlet	单峰	dān fēng
skeletal formula	骨架式	gǔ jià shì
solubility	溶解度	róng jiě dù
solubility product	溶度积	róng dù jī
solute	溶质	róng zhì
solution	溶液	róng yè
solvent	溶剂	róng jì
solvent front	溶剂前沿	róng jì qián yán
specific heat capacity	比热容	bǐ rè róng
spectator ions	旁观离子	páng guān lí zi
sphere	球形	qiú xíng
spin	自旋	zì xuán
spin-pair repulsion	自旋成对排斥	zì xuán chéng duì pái chì
splitting	裂分	liè fēn
square planar	平面正方形	píng miàn zhèng fāng xíng
stability constant	稳定常数	wěn dìng cháng shù
standard cell potential	标准电池电势	biāo zhǔn diàn chí diàn shì
standard conditions	标准条件	biāo zhǔn tiáo jiàn
standard electrode potential	标准电极电势	biāo zhǔn diàn jí diàn shì
standard hydrogen electrode	标准氢电极	biāo zhǔn qīng diàn jí
state symbols	状态符号	zhuàng tài fú hào
stationary phase	固定相	gù dìng xiāng
steam	水蒸气	shuǐ zhēng qì
stereoisomerism	立体异构	lì tǐ yì gòu
stoichiometry	化学计量	huà xué jì liàng
strong acid	强酸	qiáng suān
strong alkali	强碱	qiáng jiǎn
strong base	强碱	qiáng jiǎn
structural formula	结构式	jié gòu shì
structural isomerism	结构异构	jié gòu yì gòu
sub-shell	亚层	yà céng
substitution	取代	qǔ dài
successive ionisation energies	逐级电离能	zhú jí diàn lí néng
sulfate	硫酸盐	liú suān yán
sulfur dioxide	二氧化硫	èr yǎng huà liú
surface tension	表面张力	biǎo miàn zhāng lì
synthetic route	合成路线	hé chéng lù xiàn
termination	终止	zhōng zhǐ
tertiary	叔	shū
tetrahedral	四面体形	sì miàn tǐ xíng
tetramethylsilane	四甲基硅烷	sì jiǎ jī guī wán
thermal decomposition	热分解	rè fēn jiě
thermal stability	热稳定性	rè wěn dìng xìng
thin-layer chromatography	薄层色谱	báo céng sè pǔ
titration	滴定	dī dìng
titration curve	滴定曲线	dī dìng qū xiàn
Tollens' reagent	托伦试剂	tuō lún shì jì
trans	反式	fǎn shì
transition element	过渡元素	guò dù yuán sù
transition state	过渡态	guò dù tài
tri-iodomethane	三碘甲烷	sān diǎn jiǎ wán
trigonal bipyramidal	三角双锥形	sān jiǎo shuāng zhuī xíng
trigonal planar	平面三角形	píng miàn sān jiǎo xíng
triple bond	三键	sān jiàn
triplet	三峰	sān fēng
ultraviolet light	紫外线	zǐ wài xiàn
unified atomic mass unit	统一原子质量单位	tǒng yī yuán zi zhì liàng dān wèi
universal indicator	通用指示剂	tōng yòng zhǐ shì jì
unpaired electrons	未成对电子	wèi chéng duì diàn zi
unsaturated	不饱和	bù bǎo hé
valence shell	价层	jià céng
van der Waals' forces	范德华力	fàn dé huá lì
volatility	挥发性	huī fā xìng
VSEPR theory	价层电子对互斥理论	jià céng diàn zi duì hù chì lǐ lùn
water of crystallisation	结晶水	jié jīng shuǐ
water purification	水净化	shuǐ jìng huà
wavenumber	波数	bō shù
weak acid	弱酸	ruò suān
weak base	弱碱	ruò jiǎn
zwitterion	两性离子	liǎng xìng lí zi
