english	简体中文	pinyin
macroeconomic equilibrium	宏观经济均衡	hóng guān jīng jì jūn héng
macroeconomic objectives	宏观经济目标	hóng guān jīng jì mù biāo
macroeconomics	宏观经济学	hóng guān jīng jì xué
managed exchange rate	管理浮动汇率	guǎn lǐ fú dòng huì lǜ
marginal analysis	边际分析	biān jì fēn xī
marginal cost	边际成本	biān jì chéng běn
marginal private benefit	边际私人收益	biān jì sī rén shōu yì
marginal private cost	边际私人成本	biān jì sī rén chéng běn
marginal propensity to consume	边际消费倾向	biān jì xiāo fèi qīng xiàng
marginal propensity to import	边际进口倾向	biān jì jìn kǒu qīng xiàng
marginal propensity to save	边际储蓄倾向	biān jì chǔ xù qīng xiàng
marginal revenue	边际收益	biān jì shōu yì
marginal revenue product	边际收益产品	biān jì shōu yì chǎn pǐn
marginal social benefit	边际社会收益	biān jì shè huì shōu yì
marginal social cost	边际社会成本	biān jì shè huì chéng běn
marginal utility	边际效用	biān jì xiào yòng
market demand	市场需求	shì chǎng xū qiú
market economy	市场经济	shì chǎng jīng jì
market failure	市场失灵	shì chǎng shī líng
market structure	市场结构	shì chǎng jié gòu
market supply	市场供给	shì chǎng gōng jǐ
Marshall-Lerner condition	马歇尔勒纳条件	mǎ xiē ěr lēi nà tiáo jiàn
maximum price	最高限价	zuì gāo xiàn jià
medium of exchange	交换媒介	jiāo huàn méi jiè
merger	合并	hé bìng
merit good	优值品	yōu zhí pǐn
microeconomics	微观经济学	wēi guān jīng jì xué
migration	移民	yí mín
minimum price	最低限价	zuì dī xiàn jià
mixed economy	混合经济	hùn hé jīng jì
mobility	流动性	liú dòng xìng
model	模型	mó xíng
momentary	瞬时	shùn shí
monetary policy	货币政策	huò bì zhèng cè
money	货币	huò bì
money supply	货币供给	huò bì gōng jǐ
monopolistic competition	垄断竞争	lǒng duàn jìng zhēng
monopoly	垄断	lǒng duàn
monopoly power	垄断势力	lǒng duàn shì lì
monopsony	买方垄断	mǎi fāng lǒng duàn
moral hazard	道德风险	dào dé fēng xiǎn
multinational corporation	跨国公司	kuà guó gōng sī
multiplier	乘数	chéng shù
national debt	国债	guó zhài
national defence	国防	guó fáng
national income	国民收入	guó mín shōu rù
national minimum wage	全国最低工资	quán guó zuì dī gōng zī
nationalisation	国有化	guó yǒu huà
natural rate of unemployment	自然失业率	zì rán shī yè lǜ
necessity	必需品	bì xū pǐn
negative externality	负外部性	fù wài bù xìng
net exports	净出口	jìng chū kǒu
niche	利基市场	lì jī shì chǎng
nominal	名义	míng yì
nominal exchange rate	名义汇率	míng yì huì lǜ
non-excludability	非排他性	fēi pái tā xìng
non-price competition	非价格竞争	fēi jià gé jìng zhēng
non-renewable resources	不可再生资源	bù kě zài shēng zī yuán
non-rivalry	非竞争性	fēi jìng zhēng xìng
normal good	正常品	zhèng cháng pǐn
normal profit	正常利润	zhèng cháng lì rùn
normative statement	规范表述	guī fàn biǎo shù
occupational mobility	职业流动性	zhí yè liú dòng xìng
oligopoly	寡头垄断	guǎ tóu lǒng duàn
open economy	开放经济	kāi fàng jīng jì
opportunity cost	机会成本	jī huì chéng běn
output	产出	chǎn chū
output gap	产出缺口	chǎn chū quē kǒu
Pareto optimality	帕累托最优	pà lèi tuō zuì yōu
per capita	人均	rén jūn
percentage	百分比	bǎi fēn bǐ
perfect competition	完全竞争	wán quán jìng zhēng
perfectly elastic	完全有弹性	wán quán yǒu tán xìng
perfectly inelastic	完全无弹性	wán quán wú tán xìng
Phillips curve	菲利普斯曲线	fēi lì pǔ sī qū xiàn
planned economy	计划经济	jì huà jīng jì
positive externality	正外部性	zhèng wài bù xìng
positive statement	实证表述	shí zhèng biǎo shù
potential growth	潜在增长	qián zài zēng zhǎng
price	价格	jià gé
price competition	价格竞争	jià gé jìng zhēng
price control	价格管制	jià gé guǎn zhì
price discrimination	价格歧视	jià gé qí shì
price elasticity of demand	需求价格弹性	xū qiú jià gé tán xìng
price elasticity of supply	供给价格弹性	gōng jǐ jià gé tán xìng
price level	价格水平	jià gé shuǐ píng
price mechanism	价格机制	jià gé jī zhì
price stability	物价稳定	wù jià wěn dìng
price taker	价格接受者	jià gé jiē shòu zhě
primary income	初次收入	chū cì shōu rù
primary sector	第一产业	dì yī chǎn yè
principal-agent problem	委托代理问题	wěi tuō dài lǐ wèn tí
private benefit	私人收益	sī rén shōu yì
private cost	私人成本	sī rén chéng běn
private good	私人物品	sī rén wù pǐn
private sector	私营部门	sī yíng bù mén
privatisation	私有化	sī yǒu huà
producer	生产者	shēng chǎn zhě
producer surplus	生产者剩余	shēng chǎn zhě shèng yú
product differentiation	产品差异化	chǎn pǐn chā yì huà
product market	产品市场	chǎn pǐn shì chǎng
production possibility curve	生产可能性曲线	shēng chǎn kě néng xìng qū xiàn
productive capacity	生产能力	shēng chǎn néng lì
productive efficiency	生产效率	shēng chǎn xiào lǜ
productivity	生产率	shēng chǎn lǜ
profit	利润	lì rùn
profit maximisation	利润最大化	lì rùn zuì dà huà
progressive tax	累进税	lèi jìn shuì
proportional tax	比例税	bǐ lì shuì
protectionism	贸易保护主义	mào yì bǎo hù zhǔ yì
public good	公共物品	gōng gòng wù pǐn
public sector	公共部门	gōng gòng bù mén
purchasing power	购买力	gòu mǎi lì
quantity demanded	需求量	xū qiú liàng
quantity supplied	供给量	gōng jǐ liàng
quota	配额	pèi é
rationing	配给	pèi jǐ
real	实际	shí jì
real exchange rate	实际汇率	shí jì huì lǜ
real output	实际产出	shí jì chǎn chū
recession	衰退	shuāi tuì
recovery	复苏	fù sū
redistribution	再分配	zài fēn pèi
redistribution of income	收入再分配	shōu rù zài fēn pèi
regressive tax	累退税	lèi tuì shuì
regulation	管制	guǎn zhì
remittances	侨汇	qiáo huì
rent	地租	dì zū
resources	资源	zī yuán
retaliation	报复	bào fù
returns to scale	规模报酬	guī mó bào chóu
revaluation	法定升值	fǎ dìng shēng zhí
revenue maximisation	收益最大化	shōu yì zuì dà huà
reward	报酬	bào chóu
rivalry	竞争性	jìng zhēng xìng
sales maximisation	销售最大化	xiāo shòu zuì dà huà
satisficing	满意化	mǎn yì huà
saving	储蓄	chǔ xù
scarce	稀缺	xī quē
scarcity	稀缺性	xī quē xìng
seasonal unemployment	季节性失业	jì jié xìng shī yè
secondary income	二次收入	èr cì shōu rù
secondary sector	第二产业	dì èr chǎn yè
services	服务	fú wù
shift	移动	yí dòng
short run	短期	duǎn qī
short-run aggregate supply	短期总供给	duǎn qī zǒng gōng jǐ
shortage	短缺	duǎn quē
signalling	信号传递	xìn hào chuán dì
slump	萧条	xiāo tiáo
social benefit	社会收益	shè huì shōu yì
social cost	社会成本	shè huì chéng běn
social science	社会科学	shè huì kē xué
spare capacity	闲置产能	xián zhì chǎn néng
specialisation	专业化	zhuān yè huà
specialise	专业化	zhuān yè huà
stakeholder	利益相关者	lì yì xiāng guān zhě
standard of deferred payment	延期支付标准	yán qī zhī fù biāo zhǔn
standard of living	生活水平	shēng huó shuǐ píng
state provision	政府提供	zhèng fǔ tí gōng
stock	存量	cún liàng
stocks	库存	kù cún
store of value	价值储藏	jià zhí chǔ cáng
structural unemployment	结构性失业	jié gòu xìng shī yè
subnormal profit	次正常利润	cì zhèng cháng lì rùn
subsidy	补贴	bǔ tiē
substitute	替代品	tì dài pǐn
substitution effect	替代效应	tì dài xiào yìng
supernormal profit	超常利润	chāo cháng lì rùn
supply	供给	gōng jǐ
supply curve	供给曲线	gōng jǐ qū xiàn
supply of labour	劳动力供给	láo dòng lì gōng jǐ
supply-side policy	供给侧政策	gōng jǐ cè zhèng cè
sustainability	可持续性	kě chí xù xìng
sustainable growth	可持续增长	kě chí xù zēng zhǎng
tariff	关税	guān shuì
tax revenue	税收收入	shuì shōu shōu rù
taxation	税收	shuì shōu
technology	技术	jì shù
terms of trade	贸易条件	mào yì tiáo jiàn
tertiary sector	第三产业	dì sān chǎn yè
third party	第三方	dì sān fāng
time lags	时滞	shí zhì
total cost	总成本	zǒng chéng běn
total revenue	总收益	zǒng shōu yì
total utility	总效用	zǒng xiào yòng
tradable permits	可交易许可证	kě jiāo yì xǔ kě zhèng
trade bloc	贸易集团	mào yì jí tuán
trade in goods	货物贸易	huò wù mào yì
trade in services	服务贸易	fú wù mào yì
trade union	工会	gōng huì
trade-off	取舍	qǔ shě
trade-weighted exchange rate	贸易加权汇率	mào yì jiā quán huì lǜ
training	培训	péi xùn
transfer payments	转移支付	zhuǎn yí zhī fù
transmission mechanism	传导机制	chuán dǎo jī zhì
unemployment	失业	shī yè
unit elastic	单位弹性	dān wèi tán xìng
unit of account	记账单位	jì zhàng dān wèi
utility	效用	xiào yòng
value judgement	价值判断	jià zhí pàn duàn
variable cost	可变成本	kě biàn chéng běn
vertical integration	纵向一体化	zòng xiàng yī tǐ huà
wage	工资	gōng zī
wage differential	工资差异	gōng zī chā yì
wages	工资	gōng zī
wants	欲望	yù wàng
wealth	财富	cái fù
weight	权重	quán zhòng
welfare	福利	fú lì
worker	工人	gōng rén
