english	简体中文	pinyin
proper fraction	真分数	zhēn fēn shù
proportion	比例	bǐ lì
pyramid	棱锥	léng zhuī
Pythagoras' theorem	勾股定理	gōu gǔ dìng lǐ
quadrants	象限	xiàng xiàn
quadratic	二次	èr cì
quadratic formula	求根公式	qiú gēn gōng shì
quadrilateral	四边形	sì biān xíng
quartile	四分位数	sì fēn wèi shù
radius	半径	bàn jìng
random	随机	suí jī
range	值域	zhí yù
rate	比率	bǐ lǜ
rate of change	变化率	biàn huà lǜ
ratio	比	bǐ
rational expression	有理式	yǒu lǐ shì
rational number	有理数	yǒu lǐ shù
rationalise the denominator	分母有理化	fēn mǔ yǒu lǐ huà
reciprocal	倒数	dào shǔ
rectangle	矩形	jǔ xíng
recurring decimal	循环小数	xún huán xiǎo shù
reflection	反射	fǎn shè
reflex angle	优角	yōu jiǎo
region	区域	qū yù
regular polygon	正多边形	zhèng duō biān xíng
relative frequency	相对频率	xiāng duì pín lǜ
remainder	余数	yú shù
reverse percentage	逆百分比	nì bǎi fēn bǐ
rhombus	菱形	líng xíng
right angle	直角	zhí jiǎo
right-angled triangle	直角三角形	zhí jiǎo sān jiǎo xíng
roots	根	gēn
rotation	旋转	xuán zhuǎn
rotational symmetry	旋转对称	xuán zhuǎn duì chèn
sample space diagram	样本空间图	yàng běn kōng jiān tú
scalar	标量	biāo liàng
scale	比例尺	bǐ lì chǐ
scale drawing	比例图	bǐ lì tú
scale factor	比例因子	bǐ lì yīn zi
scalene	不等边	bù děng biān
scatter diagram	散点图	sàn diǎn tú
sector	扇形	shàn xíng
segment	弓形	gōng xíng
semicircle	半圆	bàn yuán
sequence	数列	shù liè
set	集合	jí hé
significant figure	有效数字	yǒu xiào shù zì
similar	相似	xiāng sì
simple interest	单利	dān lì
simplest form	最简形式	zuì jiǎn xíng shì
simultaneous equations	联立方程	lián lì fāng chéng
sine	正弦	zhèng xián
sine rule	正弦定理	zhèng xián dìng lǐ
slant height	斜高	xié gāo
solids	几何体	jǐ hé tǐ
sphere	球	qiú
square	正方形	zhèng fāng xíng
square number	平方数	píng fāng shù
square root	平方根	píng fāng gēn
standard form	科学记数法	kē xué jì shù fǎ
stationary point	驻点	zhù diǎn
statistical	统计	tǒng jì
stem-and-leaf diagram	茎叶图	jīng yè tú
subset	子集	zi jí
substitute	代入	dài rù
supplementary	互补	hù bǔ
surd	根式	gēn shì
surface	表面	biǎo miàn
surface area	表面积	biǎo miàn jī
symmetry	对称	duì chèn
table of values	数值表	shù zhí biǎo
tally table	计数表	jì shù biǎo
tangent	切线	qiè xiàn
tangent ratio	正切	zhèng qiē
term	项	xiàng
term-to-term rule	递推规则	dì tuī guī zé
time zone	时区	shí qū
transformation	变换	biàn huàn
translation	平移	píng yí
trapezium	梯形	tī xíng
travel graph	行程图	xíng chéng tú
tree diagram	树状图	shù zhuàng tú
triangle	三角形	sān jiǎo xíng
trigonometric equation	三角方程	sān jiǎo fāng chéng
turning point	转折点	zhuǎn zhé diǎn
two-way table	双向表	shuāng xiàng biǎo
union	并集	bìng jí
universal set	全集	quán jí
unknown	未知数	wèi zhī shù
upper bound	上界	shàng jiè
variable	变量	biàn liàng
vector	向量	xiàng liàng
Venn diagram	维恩图	wéi ēn tú
vertex	顶点	dǐng diǎn
vertical	竖直	shù zhí
vertically opposite angles	对顶角	duì dǐng jiǎo
volume	体积	tǐ jī
with replacement	有放回	yǒu fàng huí
without replacement	无放回	wú fàng huí
zero correlation	零相关	líng xiāng guān
