english	简体中文	pinyin
sole trader	个体经营者	gè tǐ jīng yíng zhě
span of control	管理幅度	guǎn lǐ fú dù
specific	具体的	jù tǐ de
stakeholder	利益相关者	lì yì xiāng guān zhě
stakeholders	利益相关者	lì yì xiāng guān zhě
stars	明星产品	míng xīng chǎn pǐn
statement of financial position	财务状况表	cái wù zhuàng kuàng biǎo
stock exchange	证券交易所	zhèng quàn jiāo yì suǒ
strategic management	战略管理	zhàn lüè guǎn lǐ
strategy	战略	zhàn lüè
stratified sampling	分层抽样	fēn céng chōu yàng
strengths	优势	yōu shì
strike	罢工	bà gōng
substitutes	替代品	tì dài pǐn
supplier	供应商	gōng yìng shāng
suppliers	供应商	gōng yìng shāng
supply	供给	gōng jǐ
survival	生存	shēng cún
sustainability	可持续性	kě chí xù xìng
SWOT analysis	SWOT分析	SWOT fēn xī
tactics	策略	cè lüè
takeover	收购	shōu gòu
taxation	税收	shuì shōu
teamworking	团队合作	tuán duì hé zuò
technological	技术	jì shù
technology	技术	jì shù
tertiary sector	第三产业	dì sān chǎn yè
threats	威胁	wēi xié
time-bound	有时限的	yǒu shí xiàn de
time-series analysis	时间序列分析	shí jiān xù liè fēn xī
total float	总浮动时间	zǒng fú dòng shí jiān
total quality management	全面质量管理	quán miàn zhì liàng guǎn lǐ
trade credit	商业信用	shāng yè xìn yòng
trade union	工会	gōng huì
training	培训	péi xùn
transformation process	转化过程	zhuǎn huà guò chéng
trend	趋势	qū shì
two-factor theory	双因素理论	shuāng yīn sù lǐ lùn
under-utilisation	产能利用不足	chǎn néng lì yòng bù zú
unemployment	失业	shī yè
unlimited liability	无限责任	wú xiàn zé rèn
variable costs	可变成本	kě biàn chéng běn
variance	差异	chā yì
venture capital	风险资本	fēng xiǎn zī běn
vertical integration	纵向整合	zòng xiàng zhěng hé
vision	愿景	yuàn jǐng
wages	工资	gōng zī
wants	欲望	yù wàng
waste	浪费	làng fèi
weaknesses	劣势	liè shì
wholesaler	批发商	pī fā shāng
workforce planning	人力规划	rén lì guī huà
working capital	营运资本	yíng yùn zī běn
zero-based budget	零基预算	líng jī yù suàn
