english	简体中文	pinyin
CISC	复杂指令集	fù zá zhǐ lìng jí
class	类	lèi
classes	类	lèi
classification	分类	fēn lèi
client	客户端	kè hù duān
clock speed	时钟频率	shí zhōng pín lǜ
cloud computing	云计算	yún jì suàn
cluster	聚类	jù lèi
code generation	代码生成	dài mǎ shēng chéng
code optimisation	代码优化	dài mǎ yōu huà
code point	码点	mǎ diǎn
collision	冲突	chōng tū
colour depth	颜色深度	yán sè shēn dù
compiler	编译器	biān yì qì
composite key	复合键	fù hé jiàn
composite type	复合类型	fù hé lèi xíng
compression	压缩	yā suō
computational thinking	计算思维	jì suàn sī wéi
concatenation	拼接	pīn jiē
concurrent access	并发访问	bìng fā fǎng wèn
confidentiality	保密性	bǎo mì xìng
conflicts of interest	利益冲突	lì yì chōng tū
connection-oriented	面向连接	miàn xiàng lián jiē
connectionless	无连接	wú lián jiē
constant	常量	cháng liàng
constructor	构造函数	gòu zào hán shù
context switch	上下文切换	shàng xià wén qiè huàn
control bus	控制总线	kòng zhì zǒng xiàn
control system	控制系统	kòng zhì xì tǒng
control unit	控制单元	kòng zhì dān yuán
copyleft	著佐权	zhù zuǒ quán
copyright	版权	bǎn quán
cores	核心	hé xīn
corrective maintenance	纠正性维护	jiū zhèng xìng wéi hù
count-controlled loop	计数循环	jì shù xún huán
counters	计数器	jì shù qì
cryptographic hash	密码散列	mì mǎ sàn liè
CSMA/CD	载波侦听多路访问	zài bō zhēn tīng duō lù fǎng wèn
Current Instruction Register	当前指令寄存器	dāng qián zhǐ lìng jì cún qì
cyclic redundancy check	循环冗余校验	xún huán rǒng yú jiào yàn
data bus	数据总线	shù jù zǒng xiàn
Data Definition Language	数据定义语言	shù jù dìng yì yǔ yán
data dictionary	数据字典	shù jù zì diǎn
data inconsistency	数据不一致	shù jù bù yī zhì
Data Manipulation Language	数据操纵语言	shù jù cāo zòng yǔ yán
data redundancy	数据冗余	shù jù rǒng yú
data type	数据类型	shù jù lèi xíng
data types	数据类型	shù jù lèi xíng
DBMS	数据库管理系统	shù jù kù guǎn lǐ xì tǒng
De Morgan's law	德摩根定律	dé mó gēn dìng lǜ
De Morgan's laws	德摩根定律	dé mó gēn dìng lǜ
debugger	调试器	tiáo shì qì
declarative programming	声明式编程	shēng míng shì biān chéng
decomposition	分解	fēn jiě
decryption	解密	jiě mì
deep learning	深度学习	shēn dù xué xí
deep neural network	深度神经网络	shēn dù shén jīng wǎng luò
denary	十进制	shí jìn zhì
denial of service	拒绝服务	jù jué fú wù
depth-first search	深度优先搜索	shēn dù yōu xiān sōu suǒ
dequeue	出队	chū duì
dereference	解引用	jiě yǐn yòng
deterministic	确定性	què dìng xìng
development life cycle	开发生命周期	kāi fā shēng mìng zhōu qī
device driver	设备驱动	shè bèi qū dòng
DHCP	动态主机配置协议	dòng tài zhǔ jī pèi zhì xié yì
dictionary methods	字典编码	zì diǎn biān mǎ
digest	摘要	zhāi yào
digit	数位	shù wèi
digital certificate	数字证书	shù zì zhèng shū
digital signature	数字签名	shù zì qiān míng
dimension	维度	wéi dù
direct access	直接存取	zhí jiē cún qǔ
direct addressing	直接寻址	zhí jiē xún zhǐ
disk defragmenter	碎片整理	suì piàn zhěng lǐ
distributed memory	分布式内存	fēn bù shì nèi cún
divide-and-conquer	分治	fēn zhì
domain name	域名	yù míng
Domain Name System	域名系统	yù míng xì tǒng
DRAM	动态RAM	dòng tài RAM
drum	感光鼓	gǎn guāng gǔ
dry run	手工跟踪	shǒu gōng gēn zōng
dynamic library	动态库	dòng tài kù
eavesdropping	窃听	qiè tīng
edges	边	biān
element	元素	yuán sù
embedded system	嵌入式系统	qiàn rù shì xì tǒng
encapsulation	封装	fēng zhuāng
encoding	编码	biān mǎ
encryption	加密	jiā mì
end of file	文件结束	wén jiàn jié shù
enqueue	入队	rù duì
entity	实体	shí tǐ
entity-relationship diagram	实体关系图	shí tǐ guān xì tú
entropy	熵	shāng
enumerated type	枚举类型	méi jǔ lèi xíng
epochs	训练轮次	xùn liàn lún cì
Ethernet	以太网	yǐ tài wǎng
ethics	伦理	lún lǐ
exception	异常	yì cháng
exception handling	异常处理	yì cháng chǔ lǐ
executable	可执行文件	kě zhí xíng wén jiàn
exponent	指数	zhǐ shù
factorial	阶乘	jiē chéng
fault-tolerant	容错	róng cuò
feedback	反馈	fǎn kuì
fetch-execute cycle	取指-执行周期	qǔ zhǐ - zhí xíng zhōu qī
fibre-optic	光纤	guāng xiān
field	字段	zì duàn
FIFO	先进先出	xiān jìn xiān chū
file	文件	wén jiàn
file organisation	文件组织	wén jiàn zǔ zhī
firewall	防火墙	fáng huǒ qiáng
firmware	固件	gù jiàn
fixed-point	定点	dìng diǎn
flags	标志	biāo zhì
flat files	平面文件	píng miàn wén jiàn
flip-flop	触发器	chù fā qì
floating-point	浮点	fú diǎn
flowchart	流程图	liú chéng tú
Flynn's taxonomy	弗林分类	fú lín fēn lèi
foreign key	外键	wài jiàn
forward references	前向引用	qián xiàng yǐn yòng
frames	页框	yè kuāng
free list	空闲列表	kòng xián liè biǎo
freeware	免费软件	miǎn fèi ruǎn jiàn
FTP	文件传输协议	wén jiàn chuán shū xié yì
full adder	全加器	quán jiā qì
full-duplex	全双工	quán shuāng gōng
function	函数	hán shù
functional programming	函数式编程	hán shù shì biān chéng
general-purpose registers	通用寄存器	tōng yòng jì cún qì
global variable	全局变量	quán jú biàn liàng
gradient	梯度	tī dù
gradient descent	梯度下降	tī dù xià jiàng
grammar	文法	wén fǎ
graph	图	tú
Gray code	格雷码	gé léi mǎ
gyroscope	陀螺仪	tuó luó yí
hacking	黑客入侵	hēi kè rù qīn
half adder	半加器	bàn jiā qì
hard disk	硬盘	yìng pán
hash function	散列函数	sàn liè hán shù
hazard	冒险	mào xiǎn
hexadecimal	十六进制	shí liù jìn zhì
hidden layers	隐藏层	yǐn cáng céng
HTTP	超文本传输协议	chāo wén běn chuán shū xié yì
hub	集线器	jí xiàn qì
Huffman coding	霍夫曼编码	huò fū màn biān mǎ
hypervisor	虚拟机监控器	xū nǐ jī jiān kòng qì
identifier table	标识符表	biāo shí fú biǎo
image recognition	图像识别	tú xiàng shí bié
immediate addressing	立即寻址	lì jí xún zhǐ
imperative programming	命令式编程	mìng lìng shì biān chéng
implementation	实现	shí xiàn
in place	原地	yuán dì
index	索引	suǒ yǐn
Index Register	变址寄存器	biàn zhǐ jì cún qì
indexed addressing	变址寻址	biàn zhǐ xún zhǐ
indirect addressing	间接寻址	jiàn jiē xún zhǐ
infix	中缀	zhōng zhuì
inheritance	继承	jì chéng
input devices	输入设备	shū rù shè bèi
insertion sort	插入排序	chā rù pái xù
instances	实例	shí lì
integrated development environment	集成开发环境	jí chéng kāi fā huán jìng
integration testing	集成测试	jí chéng cè shì
integrity	完整性	wán zhěng xìng
intellectual property	知识产权	zhī shí chǎn quán
inter-process communication	进程间通信	jìn chéng jiān tōng xìn
internet	互联网	hù lián wǎng
internet layer	网络层	wǎng luò céng
interpreter	解释器	jiě shì qì
interrupt	中断	zhōng duàn
interrupt service routine	中断服务程序	zhōng duàn fú wù chéng xù
invariant	不变量	bù biàn liàng
IP address	IP地址	IP dì zhǐ
ISP	互联网服务提供商	hù lián wǎng fú wù tí gōng shāng
iteration	迭代	dié dài
iterative model	迭代模型	dié dài mó xíng
JK flip-flop	JK触发器	JK chù fā qì
join	连接	lián jiē
just-in-time compilation	即时编译	jí shí biān yì
Karnaugh map	卡诺图	kǎ nuò tú
key distribution	密钥分发	mì yào fēn fā
knowledge graph	知识图谱	zhī shí tú pǔ
label	标签	biāo qiān
labels	标签	biāo qiān
laser printer	激光打印机	jī guāng dǎ yìn jī
latency	延迟	yán chí
layers	层	céng
learning rate	学习率	xué xí lǜ
least-privilege	最小权限	zuì xiǎo quán xiàn
lexical analysis	词法分析	cí fǎ fēn xī
library routines	库例程	kù lì chéng
LIFO	后进先出	hòu jìn xiān chū
linear probing	线性探测	xiàn xìng tàn cè
linear regression	线性回归	xiàn xìng huí guī
linear search	线性查找	xiàn xìng chá zhǎo
link layer	链路层	liàn lù céng
link table	连接表	lián jiē biǎo
linked list	链表	liàn biǎo
load factor	装填因子	zhuāng tián yīn zi
local area network	局域网	jú yù wǎng
local variable	局部变量	jú bù biàn liàng
local variables	局部变量	jú bù biàn liàng
logic circuit	逻辑电路	luó jí diàn lù
logic error	逻辑错误	luó jí cuò wù
logic gate	逻辑门	luó jí mén
logic programming	逻辑编程	luó jí biān chéng
logic statement	逻辑语句	luó jí yǔ jù
logical shift	逻辑移位	luó jí yí wèi
loop	循环	xún huán
loss function	损失函数	sǔn shī hán shù
lossless	无损	wú sǔn
lossy	有损	yǒu sǔn
low-level	低级	dī jí
MAC address	MAC地址	MAC dì zhǐ
MAC addresses	MAC地址	MAC dì zhǐ
machine code	机器码	jī qì mǎ
machine learning	机器学习	jī qì xué xí
machine translation	机器翻译	jī qì fān yì
maintenance	维护	wéi hù
malware	恶意软件	è yì ruǎn jiàn
man-in-the-middle	中间人攻击	zhōng jiān rén gōng jī
mantissa	尾数	wěi shù
mask	掩码	yǎn mǎ
massively parallel	大规模并行	dà guī mó bìng xíng
memoisation	记忆化	jì yì huà
memory address	内存地址	nèi cún dì zhǐ
Memory Address Register	内存地址寄存器	nèi cún dì zhǐ jì cún qì
memory addresses	内存地址	nèi cún dì zhǐ
Memory Data Register	内存数据寄存器	nèi cún shù jù jì cún qì
memory management	内存管理	nèi cún guǎn lǐ
mesh	网状	wǎng zhuàng
methods	方法	fāng fǎ
microphone	麦克风	mài kè fēng
MIMD	多指令多数据	duō zhǐ lìng duō shù jù
minimax	极小化极大	jí xiǎo huà jí dà
mnemonics	助记符	zhù jì fú
modularity	模块化	mó kuài huà
monitoring	监控	jiān kòng
most significant bit	最高有效位	zuì gāo yǒu xiào wèi
multi-tasking	多任务	duō rèn wù
multiplexed	多路复用	duō lù fù yòng
nested	嵌套	qiàn tào
network	网络	wǎng luò
network address translation	网络地址转换	wǎng luò dì zhǐ zhuǎn huàn
network interface card	网络接口卡	wǎng luò jiē kǒu kǎ
networks	网络	wǎng luò
neural networks	神经网络	shén jīng wǎng luò
nibble	半字节	bàn zì jié
node	节点	jié diǎn
nodes	节点	jié diǎn
non-terminal	非终结符	fēi zhōng jié fú
non-volatile	非易失性	fēi yì shī xìng
normal data	正常数据	zhèng cháng shù jù
normal forms	范式	fàn shì
normalisation	规范化	guī fàn huà
normalised	规格化	guī gé huà
number system	数制	shù zhì
object	对象	duì xiàng
object-oriented programming	面向对象编程	miàn xiàng duì xiàng biān chéng
objects	对象	duì xiàng
one-to-many	一对多	yī duì duō
open-source	开源	kāi yuán
operating system	操作系统	cāo zuò xì tǒng
operators	运算符	yùn suàn fú
optical character recognition	光学字符识别	guāng xué zì fú shí bié
optical disc	光盘	guāng pán
output devices	输出设备	shū chū shè bèi
overflow	溢出	yì chū
overriding	重写	zhòng xiě
packet	数据包	shù jù bāo
packet switching	分组交换	fēn zǔ jiāo huàn
packets	数据包	shù jù bāo
page	分页	fēn yè
page fault	缺页	quē yè
pages	页	yè
paging	分页	fēn yè
parameters	参数	cān shù
parity check	奇偶校验	jī ǒu jiào yàn
pass by reference	传引用	chuán yǐn yòng
pass by value	传值	chuán zhí
patent	专利	zhuān lì
peer-to-peer	对等网络	duì děng wǎng luò
perfective maintenance	完善性维护	wán shàn xìng wéi hù
peripheral	外围设备	wài wéi shè bèi
phishing	网络钓鱼	wǎng luò diào yú
pipeline	流水线	liú shuǐ xiàn
pipes	管道	guǎn dào
pixel	像素	xiàng sù
place value	位值	wèi zhí
plaintext	明文	míng wén
pointer	指针	zhǐ zhēn
pointers	指针	zhǐ zhēn
policy	策略	cè lüè
polymorphism	多态	duō tài
pop	出栈	chū zhàn
port	端口	duān kǒu
port numbers	端口号	duān kǒu hào
post-condition loop	后测循环	hòu cè xún huán
postfix	后缀	hòu zhuì
pre-condition loop	前测循环	qián cè xún huán
precedence	优先级	yōu xiān jí
primary key	主键	zhǔ jiàn
primary memory	主存储器	zhǔ cún chǔ qì
primitive	图元	tú yuán
privacy	隐私	yǐn sī
private key	私钥	sī yào
procedure	过程	guò chéng
process	进程	jìn chéng
process control block	进程控制块	jìn chéng kòng zhì kuài
process management	进程管理	jìn chéng guǎn lǐ
processor	处理器	chǔ lǐ qì
production rule	产生式	chǎn shēng shì
Program Counter	程序计数器	chéng xù jì shù qì
program library	程序库	chéng xù kù
programming paradigm	编程范式	biān chéng fàn shì
proprietary	专有	zhuān yǒu
protocol	协议	xié yì
protocol suite	协议栈	xié yì zhàn
prototype	原型	yuán xíng
pseudocode	伪代码	wěi dài mǎ
public key	公钥	gōng yào
pure functions	纯函数	chún hán shù
push	入栈	rù zhàn
quantisation	量化	liàng huà
query	查询	chá xún
queue	队列	duì liè
raise	抛出	pāo chū
RAM	随机存取存储器	suí jī cún qǔ cún chǔ qì
random (direct-access) file	随机文件	suí jī wén jiàn
ransomware	勒索软件	lè suǒ ruǎn jiàn
rapid application development	快速应用开发	kuài sù yìng yòng kāi fā
read/write head	读写头	dú xiě tóu
recommendation systems	推荐系统	tuī jiàn xì tǒng
record	记录	jì lù
recursion	递归	dì guī
recursive case	递归情形	dì guī qíng xíng
refactoring	重构	zhòng gòu
referential integrity	参照完整性	cān zhào wán zhěng xìng
refreshed	刷新	shuā xīn
register	寄存器	jì cún qì
registers	寄存器	jì cún qì
regression	回归	huí guī
regression testing	回归测试	huí guī cè shì
reinforcement learning	强化学习	qiáng huà xué xí
relational database	关系数据库	guān xì shù jù kù
relative addressing	相对寻址	xiāng duì xún zhǐ
render	渲染	xuàn rǎn
requirements	需求	xū qiú
resistive	电阻式	diàn zǔ shì
resolution	分辨率	fēn biàn lǜ
return address	返回地址	fǎn huí dì zhǐ
Reverse Polish Notation	逆波兰表示法	nì bō lán biǎo shì fǎ
reward	奖励	jiǎng lì
RISC	精简指令集	jīng jiǎn zhǐ lìng jí
ROM	只读存储器	zhī dú cún chǔ qì
round robin	轮转	lún zhuàn
rounding errors	舍入误差	shě rù wù chā
router	路由器	lù yóu qì
routers	路由器	lù yóu qì
routing table	路由表	lù yóu biǎo
run-length encoding	行程编码	xíng chéng biān mǎ
run-time error	运行时错误	yùn xíng shí cuò wù
sample resolution	采样分辨率	cǎi yàng fēn biàn lǜ
sampling	采样	cǎi yàng
sampling rate	采样率	cǎi yàng lǜ
sandboxing	沙箱	shā xiāng
scalability	可扩展性	kě kuò zhǎn xìng
scheduler	调度器	diào dù qì
scope	作用域	zuò yòng yù
secondary storage	辅助存储器	fǔ zhù cún chǔ qì
sectors	扇区	shàn qū
security	安全	ān quán
segmentation	分段	fēn duàn
selection	选择	xuǎn zé
semantic analysis	语义分析	yǔ yì fēn xī
semantic network	语义网络	yǔ yì wǎng luò
sensor	传感器	chuán gǎn qì
sequence	顺序	shùn xù
sequential access	顺序存取	shùn xù cún qǔ
sequential file	顺序文件	shùn xù wén jiàn
serial file	串行文件	chuàn xíng wén jiàn
server	服务器	fú wù qì
session key	会话密钥	huì huà mì yào
set	集合	jí hé
shared memory	共享内存	gòng xiǎng nèi cún
shareware	共享软件	gòng xiǎng ruǎn jiàn
side effects	副作用	fù zuò yòng
sign bit	符号位	fú hào wèi
signature	签名	qiān míng
signed integer	有符号整数	yǒu fú hào zhěng shù
SIMD	单指令多数据	dān zhǐ lìng duō shù jù
SMTP	简单邮件传输协议	jiǎn dān yóu jiàn chuán shū xié yì
social engineering	社会工程	shè huì gōng chéng
software licence	软件许可证	ruǎn jiàn xǔ kě zhèng
solid-state drive	固态硬盘	gù tài yìng pán
space complexity	空间复杂度	kōng jiān fù zá dù
spatial	空间	kōng jiān
speech recognition	语音识别	yǔ yīn shí bié
spooling	假脱机	jiǎ tuō jī
spyware	间谍软件	jiàn dié ruǎn jiàn
SQL	结构化查询语言	jié gòu huà chá xún yǔ yán
SR flip-flop	SR触发器	SR chù fā qì
SRAM	静态RAM	jìng tài RAM
stable	稳定	wěn dìng
stack	栈	zhàn
stack frame	栈帧	zhàn zhēn
stack overflow	栈溢出	zhàn yì chū
star	星形	xīng xíng
state-transition diagram	状态转换图	zhuàng tài zhuǎn huàn tú
states	状态	zhuàng tài
static library	静态库	jìng tài kù
Status Register	状态寄存器	zhuàng tài jì cún qì
stepwise refinement	逐步求精	zhú bù qiú jīng
stored program	存储程序	cún chǔ chéng xù
structure chart	结构图	jié gòu tú
structured English	结构化英语	jié gòu huà yīng yǔ
structured programming	结构化编程	jié gòu huà biān chéng
stub	桩	zhuāng
subclass	子类	zi lèi
subnet mask	子网掩码	zi wǎng yǎn mǎ
subnets	子网	zi wǎng
subroutines	子程序	zi chéng xù
superclass	父类	fù lèi
supercomputers	超级计算机	chāo jí jì suàn jī
supervised learning	监督学习	jiān dū xué xí
swap file	交换文件	jiāo huàn wén jiàn
switch	交换机	jiāo huàn jī
symbol table	符号表	fú hào biǎo
symmetric encryption	对称加密	duì chèn jiā mì
syntax analysis (parsing)	语法分析	yǔ fǎ fēn xī
syntax diagram	语法图	yǔ fǎ tú
syntax error	语法错误	yǔ fǎ cuò wù
syntax highlighting	语法高亮	yǔ fǎ gāo liàng
table	表	biǎo
TCP	传输控制协议	chuán shū kòng zhì xié yì
temporal	时间	shí jiān
terminal	终结符	zhōng jié fú
test plan	测试计划	cè shì jì huà
test strategy	测试策略	cè shì cè lüè
text file	文本文件	wén běn wén jiàn
text-to-speech	文本转语音	wén běn zhuǎn yǔ yīn
thermistor	热敏电阻	rè mǐn diàn zǔ
thick client	胖客户端	pàng kè hù duān
thin client	瘦客户端	shòu kè hù duān
thrashing	抖动	dǒu dòng
time complexity	时间复杂度	shí jiān fù zá dù
time slice	时间片	shí jiān piàn
TLS	传输层安全	chuán shū céng ān quán
toggle	翻转	fān zhuǎn
tokens	词法单元	cí fǎ dān yuán
toner	墨粉	mò fěn
topology	拓扑	tuò pū
touchscreen	触摸屏	chù mō píng
tracks	磁道	cí dào
transactions	事务	shì wù
transistors	晶体管	jīng tǐ guǎn
transitive dependency	传递依赖	chuán dì yī lài
translator	翻译器	fān yì qì
transport layer	传输层	chuán shū céng
traverse	遍历	biàn lì
Trojan horse	木马	mù mǎ
truth table	真值表	zhēn zhí biǎo
twisted-pair	双绞线	shuāng jiǎo xiàn
two's complement	补码	bǔ mǎ
two-factor authentication	双因素认证	shuāng yīn sù rèn zhèng
UDP	用户数据报协议	yòng hù shù jù bào xié yì
unambiguous	无歧义	wú qí yì
unauthorised	未授权	wèi shòu quán
underflow	下溢	xià yì
unit test	单元测试	dān yuán cè shì
unsigned	无符号	wú fú hào
unsupervised learning	无监督学习	wú jiān dū xué xí
URL	统一资源定位符	tǒng yī zī yuán dìng wèi fú
user-defined type	用户定义类型	yòng hù dìng yì lèi xíng
utility program	实用程序	shí yòng chéng xù
validation	验证	yàn zhèng
variable	变量	biàn liàng
variables	变量	biàn liàng
vector graphic	矢量图形	shǐ liàng tú xíng
verification	核对	hé duì
version control	版本控制	bǎn běn kòng zhì
views	视图	shì tú
virtual address space	虚拟地址空间	xū nǐ dì zhǐ kōng jiān
virtual machine	虚拟机	xū nǐ jī
virtual memory	虚拟内存	xū nǐ nèi cún
virtual reality	虚拟现实	xū nǐ xiàn shí
virus	病毒	bìng dú
volatile	易失性	yì shī xìng
Von Neumann architecture	冯·诺依曼体系结构	féng · nuò yī màn tǐ xì jié gòu
VPN	虚拟专用网	xū nǐ zhuān yòng wǎng
walkthrough	走查	zǒu chá
waterfall	瀑布模型	pù bù mó xíng
weight	权重	quán zhòng
white-box testing	白盒测试	bái hé cè shì
wide area network	广域网	guǎng yù wǎng
wireless access point	无线接入点	wú xiàn jiē rù diǎn
word size	字长	zì zhǎng
World Wide Web	万维网	wàn wéi wǎng
worm	蠕虫	rú chóng
