english	简体中文	pinyin
Bowman's capsule	鲍曼囊	bào màn náng
breast cancer	乳腺癌	rǔ xiàn ái
bronchiole	细支气管	xì zhī qì guǎn
bronchus	支气管	zhī qì guǎn
buffer solution	缓冲液	huǎn chōng yè
calcium ion	钙离子	gài lí zi
calibrate	校准	jiào zhǔn
Calvin cycle	卡尔文循环	kǎ ěr wén xún huán
capillary	毛细血管	máo xì xuè guǎn
capsid	衣壳	yī ké
carbaminohaemoglobin	氨甲酰血红蛋白	ān jiǎ xiān xuè hóng dàn bái
carbohydrate	碳水化合物	tàn shuǐ huà hé wù
carbon dioxide	二氧化碳	èr yǎng huà tàn
carbonic anhydrase	碳酸酐酶	tàn suān gān méi
carboxyl group	羧基	suō jī
cardiac cycle	心动周期	xīn dòng zhōu qī
carotene	胡萝卜素	hú luó bo sù
carrier protein	载体蛋白	zài tǐ dàn bái
cartilage	软骨	ruǎn gǔ
Casparian strip	凯氏带	kǎi shì dài
catalase	过氧化氢酶	guò yǎng huà qīng méi
catalyse	催化	cuī huà
cell	细胞	xì bāo
cell cycle	细胞周期	xì bāo zhōu qī
cell signalling	细胞信号传递	xì bāo xìn hào chuán dì
cell surface membrane	细胞膜	xì bāo mó
cell wall	细胞壁	xì bāo bì
cellulose	纤维素	xiān wéi sù
centriole	中心粒	zhōng xīn lì
centromere	着丝粒	zhe sī lì
channel protein	通道蛋白	tōng dào dàn bái
chemiosmosis	化学渗透	huà xué shèn tòu
chemoreceptor	化学感受器	huà xué gǎn shòu qì
chi-squared test	卡方检验	kǎ fāng jiǎn yàn
chloride ion	氯离子	lǜ lí zi
chloride shift	氯转移	lǜ zhuǎn yí
chlorophyll	叶绿素	yè lǜ sù
chloroplast	叶绿体	yè lǜ tǐ
cholera	霍乱	huò luàn
cholesterol	胆固醇	dǎn gù chún
cholinergic synapse	胆碱能突触	dǎn jiǎn néng tū chù
chromatography	色谱法	sè pǔ fǎ
chromosome	染色体	rǎn sè tǐ
cilia	纤毛	xiān máo
ciliated epithelium	纤毛上皮	xiān máo shàng pí
circulatory system	循环系统	xún huán xì tǒng
citrate	柠檬酸	níng méng suān
class	纲	gāng
classification	分类	fēn lèi
climate change	气候变化	qì hòu biàn huà
clone	克隆	kè lóng
cloning vector	载体	zài tǐ
codominant	共显性	gòng xiǎn xìng
codon	密码子	mì mǎ zi
coenzyme	辅酶	fǔ méi
coenzyme A	辅酶A	fǔ méi A
cohesion	内聚力	nèi jù lì
collagen	胶原蛋白	jiāo yuán dàn bái
collecting duct	集合管	jí hé guǎn
collide	碰撞	pèng zhuàng
colorimeter	比色计	bǐ sè jì
companion cell	伴胞	bàn bāo
compete	竞争	jìng zhēng
competitive inhibitor	竞争性抑制剂	jìng zhēng xìng yì zhì jì
complementary	互补	hù bǔ
complementary base pairing	碱基互补配对	jiǎn jī hù bǔ pèi duì
concentration	浓度	nóng dù
concentration gradient	浓度梯度	nóng dù tī dù
condensation	缩合	suō hé
conformational change	构象变化	gòu xiàng biàn huà
conservation	保护	bǎo hù
contaminated	污染	wū rǎn
continuous variation	连续变异	lián xù biàn yì
correlation	相关性	xiāng guān xìng
cortex	皮质	pí zhì
cotransporter protein	协同运输蛋白	xié tóng yùn shū dàn bái
cotton	棉花	mián huā
covalent bond	共价键	gòng jià jiàn
cover slip	盖玻片	gài bō piàn
cristae	嵴	jǐ
crossing over	交叉互换	jiāo chā hù huàn
cuticle	角质层	jiǎo zhì céng
cyclic AMP	环腺苷酸	huán xiàn gān suān
cyclic photophosphorylation	循环光合磷酸化	xún huán guāng hé lín suān huà
cystic fibrosis	囊性纤维化	náng xìng xiān wéi huà
cytokinesis	胞质分裂	bāo zhì fēn liè
cytoplasm	细胞质	xì bāo zhì
cytosine	胞嘧啶	bāo mì dìng
database	数据库	shù jù kù
daughter cell	子细胞	zi xì bāo
deamination	脱氨基作用	tuō ān jī zuò yòng
decarboxylation	脱羧	tuō suō
dehydrogenation	脱氢	tuō qīng
deletion	缺失	quē shī
denature	变性	biàn xìng
deoxyribose	脱氧核糖	tuō yǎng hé táng
diabetes	糖尿病	táng niào bìng
diagnosis	诊断	zhěn duàn
dialysis tubing	透析袋	tòu xī dài
diastole	舒张期	shū zhāng qī
dicotyledonous plant	双子叶植物	shuāng zǐ yè zhí wù
differentiate	分化	fēn huà
diffuse	扩散	kuò sàn
diffusion	扩散	kuò sàn
digest	消化	xiāo huà
dihybrid cross	双基因杂交	shuāng jī yīn zá jiāo
diploid	二倍体	èr bèi tǐ
directional selection	定向选择	dìng xiàng xuǎn zé
disaccharide	二糖	èr táng
discontinuous variation	不连续变异	bù lián xù biàn yì
disease resistance	抗病性	kàng bìng xìng
disruptive selection	分裂选择	fēn liè xuǎn zé
distal convoluted tubule	远曲小管	yuǎn qū xiǎo guǎn
distilled water	蒸馏水	zhēng liú shuǐ
disulfide bond	二硫键	èr liú jiàn
domain	域	yù
dominant	显性	xiǎn xìng
donor	供体	gōng tǐ
double bond	双键	shuāng jiàn
double circulation	双循环	shuāng xún huán
double helix	双螺旋	shuāng luó xuán
double-stranded	双链	shuāng liàn
droplet	飞沫	fēi mò
ecosystem	生态系统	shēng tài xì tǒng
effector	效应器	xiào yìng qì
elastic	弹性	tán xìng
elastic fibre	弹性纤维	tán xìng xiān wéi
electron	电子	diàn zi
electron micrograph	电子显微照片	diàn zi xiǎn wēi zhào piān
electron microscope	电子显微镜	diàn zi xiǎn wēi jìng
electron transport chain	电子传递链	diàn zi chuán dì liàn
elongation	伸长	shēn cháng
embryo transfer	胚胎移植	pēi tāi yí zhí
emulsion	乳浊液	rǔ zhuó yè
endangered species	濒危物种	bīn wēi wù zhǒng
endocrine system	内分泌系统	nèi fēn mì xì tǒng
endocytosis	胞吞作用	bāo tūn zuò yòng
endodermis	内皮层	nèi pí céng
energy	能量	néng liàng
envelope	包膜	bāo mó
environmental factor	环境因素	huán jìng yīn sù
enzyme	酶	méi
enzyme cascade	酶级联反应	méi jí lián fǎn yìng
enzyme–substrate complex	酶底物复合物	méi dǐ wù fù hé wù
epistasis	上位性	shàng wèi xìng
equator	赤道	chì dào
ester bond	酯键	zhǐ jiàn
ethanol	乙醇	yǐ chún
ethical	伦理	lún lǐ
Eukarya	真核生物	zhēn hé shēng wù
eukaryotic cell	真核细胞	zhēn hé xì bāo
evaporate	蒸发	zhēng fā
evaporation	蒸发	zhēng fā
evolution	进化	jìn huà
exocytosis	胞吐作用	bāo tǔ zuò yòng
exon	外显子	wài xiǎn zi
extinct	灭绝	miè jué
extracellular	细胞外	xì bāo wài
eyepiece graticule	目镜测微尺	mù jìng cè wēi chǐ
facilitated diffusion	易化扩散	yì huà kuò sàn
faeces	粪便	fèn biàn
family	科	kē
fatty acid	脂肪酸	zhī fáng suān
fermentation	发酵	fā jiào
fertilisation	受精	shòu jīng
fibre	纤维	xiān wéi
fibrous protein	纤维状蛋白质	xiān wéi zhuàng dàn bái zhì
filament	肌丝	jī sī
filtrate	滤液	lǜ yè
fixation	固定	gù dìng
fluid mosaic model	流动镶嵌模型	liú dòng xiāng qiàn mó xíng
fluidity	流动性	liú dòng xìng
fluorescent	荧光	yíng guāng
founder effect	奠基者效应	diàn jī zhě xiào yìng
fragment	片段	piàn duàn
fructose	果糖	guǒ táng
Fungi	真菌界	zhēn jùn jiè
G-protein	G蛋白	G dàn bái
gamete	配子	pèi zi
gas exchange	气体交换	qì tǐ jiāo huàn
gel electrophoresis	凝胶电泳	níng jiāo diàn yǒng
gene	基因	jī yīn
gene editing	基因编辑	jī yīn biān jí
gene expression	基因表达	jī yīn biǎo dá
gene pool	基因库	jī yīn kù
gene therapy	基因治疗	jī yīn zhì liáo
genetic drift	遗传漂变	yí chuán piāo biàn
genetic engineering	基因工程	jī yīn gōng chéng
genetic screening	基因筛查	jī yīn shāi chá
genetically modified organism	转基因生物	zhuǎn jī yīn shēng wù
genome	基因组	jī yīn zǔ
genotype	基因型	jī yīn xíng
genus	属	shǔ
geographical separation	地理隔离	dì lǐ gé lí
germinate	萌发	méng fā
germination	萌发	méng fā
gibberellin	赤霉素	chì méi sù
gland	腺体	xiàn tǐ
globular protein	球状蛋白质	qiú zhuàng dàn bái zhì
glomerulus	肾小球	shèn xiǎo qiú
glucagon	胰高血糖素	yí gāo xuè táng sù
glucose	葡萄糖	pú táo táng
glucose oxidase	葡萄糖氧化酶	pú táo táng yǎng huà méi
glycerol	甘油	gān yóu
glycogen	糖原	táng yuán
glycolipid	糖脂	táng zhī
glycolysis	糖酵解	táng jiào jiě
glycoprotein	糖蛋白	táng dàn bái
glycosidic bond	糖苷键	táng gān jiàn
goblet cell	杯状细胞	bēi zhuàng xì bāo
Golgi body	高尔基体	gāo ěr jī tǐ
grana	基粒	jī lì
guanine	鸟嘌呤	niǎo piào líng
guard cell	保卫细胞	bǎo wèi xì bāo
habitat	栖息地	qī xī dì
haem group	血红素	xuè hóng sù
haemoglobin	血红蛋白	xuè hóng dàn bái
haemoglobinic acid	血红蛋白酸	xuè hóng dàn bái suān
haemolysis	溶血	róng xuè
haemophilia	血友病	xuè yǒu bìng
haploid	单倍体	dān bèi tǐ
Hardy–Weinberg principle	哈迪-温伯格原理	hā dí - wēn bó gé yuán lǐ
heart	心脏	xīn zàng
helix	螺旋	luó xuán
herbicide	除草剂	chú cǎo jì
herd immunity	群体免疫	qún tǐ miǎn yì
heterozygous	杂合	zá hé
histone	组蛋白	zǔ dàn bái
homeostasis	稳态	wěn tài
homologous chromosomes	同源染色体	tóng yuán rǎn sè tǐ
homozygous	纯合	chún hé
hormone	激素	jī sù
host	宿主	sù zhǔ
Huntington's disease	亨廷顿病	hēng tíng dùn bìng
hybridisation	杂交	zá jiāo
hybridoma	杂交瘤	zá jiāo liú
hydrochloric acid	盐酸	yán suān
hydrogen bond	氢键	qīng jiàn
hydrogencarbonate ion	碳酸氢根离子	tàn suān qīng gēn lí zi
hydrolysis	水解	shuǐ jiě
hydrophilic	亲水	qīn shuǐ
hydrophobic	疏水	shū shuǐ
hydrophobic interactions	疏水作用	shū shuǐ zuò yòng
hydrostatic pressure	静水压	jìng shuǐ yā
hypothalamus	下丘脑	xià qiū nǎo
immobilised enzyme	固定化酶	gù dìng huà méi
immune response	免疫反应	miǎn yì fǎn yìng
immune system	免疫系统	miǎn yì xì tǒng
impulse	冲动	chōng dòng
in vitro fertilisation	体外受精	tǐ wài shòu jīng
inbreeding	近交	jìn jiāo
independent assortment	自由组合	zì yóu zǔ hé
indicator	指示剂	zhǐ shì jì
induced-fit hypothesis	诱导契合学说	yòu dǎo qì hé xué shuō
inducible enzyme	可诱导酶	kě yòu dǎo méi
infectious disease	传染病	chuán rǎn bìng
inhibitor	抑制剂	yì zhì jì
insecticide	杀虫剂	shā chóng jì
insertion	插入	chā rù
insoluble	不溶	bù róng
insulation	隔热	gé rè
insulin	胰岛素	yí dǎo sù
intermediate neurone	中间神经元	zhōng jiān shén jīng yuán
interphase	间期	jiān qī
intracellular	细胞内	xì bāo nèi
intron	内含子	nèi hán zi
invasive species	入侵物种	rù qīn wù zhǒng
invertebrate	无脊椎动物	wú jǐ zhuī dòng wù
iodine	碘	diǎn
ion	离子	lí zi
ionic bond	离子键	lí zi jiàn
iron	铁	tiě
isolation	隔离	gé lí
kidney	肾脏	shèn zàng
kinetic energy	动能	dòng néng
kingdom	界	jiè
Krebs cycle	克雷布斯循环	kè léi bù sī xún huán
lac operon	乳糖操纵子	rǔ táng cāo zòng zi
lactate	乳酸	rǔ suān
lagging strand	后随链	hòu suí liàn
latent heat of vaporisation	汽化潜热	qì huà qián rè
leading strand	前导链	qián dǎo liàn
ligand	配体	pèi tǐ
ligase	连接酶	lián jiē méi
light intensity	光照强度	guāng zhào qiáng dù
light microscope	光学显微镜	guāng xué xiǎn wēi jìng
light-dependent stage	光反应阶段	guāng fǎn yìng jiē duàn
light-independent stage	暗反应阶段	àn fǎn yìng jiē duàn
lignin	木质素	mù zhì sù
limiting factor	限制因素	xiàn zhì yīn sù
link reaction	连接反应	lián jiē fǎn yìng
linkage	连锁	lián suǒ
lipid	脂质	zhī zhì
liver	肝脏	gān zàng
lock-and-key hypothesis	锁钥学说	suǒ yuè xué shuō
locus	基因座	jī yīn zuò
loop of Henle	亨利环	hēng lì huán
lumen	管腔	guǎn qiāng
lungs	肺	fèi
lymphocyte	淋巴细胞	lín bā xì bāo
lysosome	溶酶体	róng méi tǐ
macromolecule	大分子	dà fēn zi
macrophage	巨噬细胞	jù shì xì bāo
magnification	放大倍数	fàng dà bèi shù
malaria	疟疾	nüè jí
maltose	麦芽糖	mài yá táng
mark-release-recapture	标志重捕法	biāo zhì zhòng bǔ fǎ
marker gene	标记基因	biāo jì jī yīn
mass flow	集流	jí liú
matrix	基质	jī zhì
medulla	髓质	suǐ zhì
meiosis	减数分裂	jiǎn shù fēn liè
membrane potential	膜电位	mó diàn wèi
memory cell	记忆细胞	jì yì xì bāo
metaphase	中期	zhōng qī
Michaelis–Menten constant	米氏常数	mǐ shì cháng shù
microarray	微阵列	wēi zhèn liè
microbe	微生物	wēi shēng wù
microfibril	微纤丝	wēi xiān sī
micrometre	微米	wēi mǐ
microscope	显微镜	xiǎn wēi jìng
microtubule	微管	wēi guǎn
microvilli	微绒毛	wēi róng máo
mineral ion	矿物离子	kuàng wù lí zi
mitochondria	线粒体	xiàn lì tǐ
mitosis	有丝分裂	yǒu sī fēn liè
molecule	分子	fèn zǐ
monoclonal antibody	单克隆抗体	dān kè lóng kàng tǐ
monocyte	单核细胞	dān hé xì bāo
monohybrid cross	单基因杂交	dān jī yīn zá jiāo
monomer	单体	dān tǐ
monosaccharide	单糖	dān táng
mosquito	蚊子	wén zi
motor neurone	运动神经元	yùn dòng shén jīng yuán
mucous gland	黏液腺	nián yè xiàn
mucus	黏液	nián yè
multicellular	多细胞	duō xì bāo
multiple alleles	复等位基因	fù děng wèi jī yīn
muscle	肌肉	jī ròu
mutation	突变	tū biàn
myelin sheath	髓鞘	suǐ qiào
nanometre	纳米	nà mǐ
natural immunity	天然免疫	tiān rán miǎn yì
natural selection	自然选择	zì rán xuǎn zé
negative feedback	负反馈	fù fǎn kuì
nephron	肾单位	shèn dān wèi
nervous system	神经系统	shén jīng xì tǒng
neuromuscular junction	神经肌肉接头	shén jīng jī ròu jiē tóu
neurone	神经元	shén jīng yuán
neurotransmitter	神经递质	shén jīng dì zhì
neutralise	中和	zhōng hé
neutrophil	中性粒细胞	zhōng xìng lì xì bāo
niche	生态位	shēng tài wèi
non-cellular	非细胞	fēi xì bāo
non-competitive inhibitor	非竞争性抑制剂	fēi jìng zhēng xìng yì zhì jì
non-cyclic photophosphorylation	非循环光合磷酸化	fēi xún huán guāng hé lín suān huà
non-polar	非极性	fēi jí xìng
non-reducing sugar	非还原糖	fēi huán yuán táng
non-self antigen	非自身抗原	fēi zì shēn kàng yuán
non-transcribed strand	非转录链	fēi zhuǎn lù liàn
nuclear envelope	核膜	hé mó
nucleic acid	核酸	hé suān
nucleolus	核仁	hé rén
nucleotide	核苷酸	hé gān suān
nucleus	细胞核	xì bāo hé
offspring	后代	hòu dài
optimum temperature	最适温度	zuì shì wēn dù
order	目	mù
organelle	细胞器	xì bāo qì
organism	生物体	shēng wù tǐ
osmoregulation	渗透调节	shèn tòu tiáo jié
osmosis	渗透	shèn tòu
oxaloacetate	草酰乙酸	cǎo xiān yǐ suān
oxidative phosphorylation	氧化磷酸化	yǎng huà lín suān huà
oxidise	氧化	yǎng huà
oxygen	氧气	yǎng qì
oxygen dissociation curve	氧解离曲线	yǎng jiě lí qū xiàn
oxygen-evolving complex	放氧复合体	fàng yǎng fù hé tǐ
partial pressure	分压	fēn yā
partially permeable membrane	半透膜	bàn tòu mó
passive	被动	bèi dòng
passive immunity	被动免疫	bèi dòng miǎn yì
pathogen	病原体	bìng yuán tǐ
penicillin	青霉素	qīng méi sù
peptide bond	肽键	tài jiàn
peptidoglycan	肽聚糖	tài jù táng
permeability	通透性	tōng tòu xìng
peroxidase	过氧化物酶	guò yǎng huà wù méi
pest	害虫	hài chóng
phagocyte	吞噬细胞	tūn shì xì bāo
phagocytosis	吞噬作用	tūn shì zuò yòng
phenotype	表现型	biǎo xiàn xíng
phloem	韧皮部	rèn pí bù
phosphate	磷酸	lín suān
phosphodiester bond	磷酸二酯键	lín suān èr zhǐ jiàn
phospholipid	磷脂	lín zhī
phosphorylation	磷酸化	lín suān huà
photoactivation	光激活	guāng jī huó
photolysis	光解	guāng jiě
photomicrograph	显微照片	xiǎn wēi zhào piān
photophosphorylation	光合磷酸化	guāng hé lín suān huà
photosynthesis	光合作用	guāng hé zuò yòng
photosystem	光系统	guāng xì tǒng
phylum	门	mén
pigment	色素	sè sù
pituitary gland	垂体	chuí tǐ
Plantae	植物界	zhí wù jiè
plasma	血浆	xuè jiāng
plasma cell	浆细胞	jiāng xì bāo
plasmid	质粒	zhì lì
plasmodesmata	胞间连丝	bāo jiān lián sī
plasmolysis	质壁分离	zhì bì fēn lí
pleated sheet	折叠片	zhé dié piàn
polar	极性	jí xìng
polymer	聚合物	jù hé wù
polymerase	聚合酶	jù hé méi
polymerase chain reaction	聚合酶链式反应	jù hé méi liàn shì fǎn yìng
polypeptide	多肽	duō tài
polysaccharide	多糖	duō táng
population	种群	zhǒng qún
precipitate	沉淀	chén diàn
primary structure	一级结构	yī jí jié gòu
primary transcript	初级转录本	chū jí zhuǎn lù běn
product	产物	chǎn wù
prokaryote	原核生物	yuán hé shēng wù
prokaryotic cell	原核细胞	yuán hé xì bāo
promoter	启动子	qǐ dòng zi
prophase	前期	qián qī
protein	蛋白质	dàn bái zhì
protein kinase A	蛋白激酶A	dàn bái jī méi A
protoctist	原生生物	yuán shēng shēng wù
Protoctista	原生生物界	yuán shēng shēng wù jiè
proton	质子	zhì zi
proton pump	质子泵	zhì zi bèng
proximal convoluted tubule	近曲小管	jìn qū xiǎo guǎn
pulmonary artery	肺动脉	fèi dòng mài
pulmonary circulation	肺循环	fèi xún huán
pulmonary vein	肺静脉	fèi jìng mài
Punnett square	庞纳特方格	páng nà tè fāng gé
purine	嘌呤	piào líng
Purkyne tissue	浦肯野组织	pǔ kěn yě zǔ zhī
pyrimidine	嘧啶	mì dìng
pyruvate	丙酮酸	bǐng tóng suān
quadrat	样方	yàng fāng
quaternary structure	四级结构	sì jí jié gòu
random sampling	随机取样	suí jī qǔ yàng
rate of reaction	反应速率	fǎn yìng sù lǜ
receptor	受体	shòu tǐ
recessive	隐性	yǐn xìng
recombinant	重组	chóng zǔ
red blood cell	红细胞	hóng xì bāo
reduce	还原	huán yuán
reducing sugar	还原糖	huán yuán táng
refractory period	不应期	bù yīng qī
regenerate	再生	zài shēng
regulatory gene	调节基因	tiáo jié jī yīn
renal pelvis	肾盂	shèn yú
replication	复制	fù zhì
repressible enzyme	可抑制酶	kě yì zhì méi
repressor	阻遏物	zǔ è wù
reproduce	繁殖	fán zhí
resistance	耐药性	nài yào xìng
resolution	分辨率	fēn biàn lǜ
respiration	呼吸作用	hū xī zuò yòng
respiratory quotient	呼吸商	hū xī shāng
respiratory substrate	呼吸底物	hū xī dǐ wù
respirometer	呼吸计	hū xī jì
resting potential	静息电位	jìng xī diàn wèi
restriction endonuclease	限制性内切酶	xiàn zhì xìng nèi qiè méi
reverse transcriptase	逆转录酶	nì zhuǎn lù méi
reversible	可逆	kě nì
Rf value	比移值	bǐ yí zhí
ribose	核糖	hé táng
ribosome	核糖体	hé táng tǐ
root hair cell	根毛细胞	gēn máo xì bāo
rough endoplasmic reticulum	粗面内质网	cū miàn nèi zhì wǎng
salmon	鲑鱼	guī yú
saltatory conduction	跳跃式传导	tiào yuè shì chuán dǎo
sarcomere	肌节	jī jié
sarcoplasmic reticulum	肌质网	jī zhì wǎng
saturated	饱和	bǎo hé
saturation	饱和度	bǎo hé dù
scanning	扫描	sǎo miáo
second messenger	第二信使	dì èr xìn shǐ
secondary structure	二级结构	èr jí jié gòu
secrete	分泌	fēn mì
secretion	分泌	fēn mì
seed bank	种子库	zhǒng zi kù
selective breeding	选择育种	xuǎn zé yù zhǒng
selective reabsorption	选择性重吸收	xuǎn zé xìng zhòng xī shōu
self antigen	自身抗原	zì shēn kàng yuán
semi-conservative replication	半保留复制	bàn bǎo liú fù zhì
semi-quantitative	半定量	bàn dìng liàng
sensory neurone	感觉神经元	gǎn jué shén jīng yuán
sensory receptor	感受器	gǎn shòu qì
sequence	序列	xù liè
sex linkage	伴性遗传	bàn xìng yí chuán
sickle cell anaemia	镰状细胞贫血	lián zhuàng xì bāo pín xuè
side chain	侧链	cè liàn
sieve plate	筛板	shāi bǎn
sieve tube	筛管	shāi guǎn
simple diffusion	简单扩散	jiǎn dān kuò sàn
Simpson's index of diversity	辛普森多样性指数	xīn pǔ sēn duō yàng xìng zhǐ shù
single-stranded	单链	dān liàn
sink	库	kù
sinoatrial node	窦房结	dòu fáng jié
sister chromatids	姐妹染色单体	jiě mèi rǎn sè dān tǐ
slide	载玻片	zài bō piàn
sliding filament model	肌丝滑动模型	jī sī huá dòng mó xíng
smooth endoplasmic reticulum	滑面内质网	huá miàn nèi zhì wǎng
smooth muscle	平滑肌	píng huá jī
soluble	可溶	kě róng
solute	溶质	róng zhì
solvent	溶剂	róng jì
source	源	yuán
soybean	大豆	dà dòu
speciation	物种形成	wù zhǒng xíng chéng
species	物种	wù zhǒng
specific heat capacity	比热容	bǐ rè róng
specificity	专一性	zhuān yī xìng
specimen	标本	biāo běn
spindle	纺锤体	fǎng chuí tǐ
squamous epithelium	扁平上皮	biǎn píng shàng pí
stabilising selection	稳定选择	wěn dìng xuǎn zé
stability	稳定性	wěn dìng xìng
stage micrometer	载物台测微尺	zài wù tái cè wēi chǐ
stain	染色剂	rǎn sè jì
standardise	标准化	biāo zhǔn huà
starch	淀粉	diàn fěn
stem cell	干细胞	gàn xì bāo
stimulus	刺激	cì jī
stomata	气孔	qì kǒng
strand	链	liàn
striated muscle	横纹肌	héng wén jī
stroma	基质	jī zhì
structural gene	结构基因	jié gòu jī yīn
suberin	木栓质	mù shuān zhì
substitution	替换	tì huàn
substrate	底物	dǐ wù
sucrose	蔗糖	zhè táng
surface area	表面积	biǎo miàn jī
surrogacy	代孕	dài yùn
sympatric speciation	同域物种形成	tóng yù wù zhǒng xíng chéng
symplast pathway	共质体途径	gòng zhì tǐ tú jìng
synapse	突触	tū chù
synthesise	合成	hé chéng
systemic circulation	体循环	tǐ xún huán
systole	收缩期	shōu suō qī
T-helper cell	辅助性T细胞	fǔ zhù xìng T xì bāo
T-killer cell	杀伤性T细胞	shā shāng xìng T xì bāo
T-tubule	T小管	T xiǎo guǎn
target cell	靶细胞	bǎ xì bāo
taste bud	味蕾	wèi lěi
taxonomic hierarchy	分类层级	fēn lèi céng jí
telomere	端粒	duān lì
telophase	末期	mò qī
temperature	温度	wēn dù
template strand	模板链	mú bǎn liàn
temporary preparation	临时装片	lín shí zhuāng piàn
tendon	肌腱	jī jiàn
tension	张力	zhāng lì
tertiary structure	三级结构	sān jí jié gòu
test cross	测交	cè jiāo
test strip	试纸	shì zhǐ
thylakoid	类囊体	lèi náng tǐ
thymine	胸腺嘧啶	xiōng xiàn mì dìng
tissue	组织	zǔ zhī
tissue fluid	组织液	zǔ zhī yè
tonoplast	液泡膜	yè pào mó
trachea	气管	qì guǎn
transcription	转录	zhuǎn lù
transcription factor	转录因子	zhuǎn lù yīn zi
transect	样带	yàng dài
translation	翻译	fān yì
transmission	透射	tòu shè
transmit	传播	chuán bō
transpiration	蒸腾作用	zhēng téng zuò yòng
transverse section	横切面	héng qiē miàn
triglyceride	甘油三酯	gān yóu sān zhǐ
triplet	三联体	sān lián tǐ
tropomyosin	原肌球蛋白	yuán jī qiú dàn bái
troponin	肌钙蛋白	jī gài dàn bái
tuberculosis	结核病	jié hé bìng
tumour	肿瘤	zhǒng liú
turgid	膨胀	péng zhàng
ultrafiltration	超滤	chāo lǜ
unicellular	单细胞	dān xì bāo
unsaturated	不饱和	bù bǎo hé
uracil	尿嘧啶	niào mì dìng
urea	尿素	niào sù
ureter	输尿管	shū niào guǎn
vaccination	疫苗接种	yì miáo jiē zhǒng
vaccine	疫苗	yì miáo
vacuole	液泡	yè pào
valve	瓣膜	bàn mó
variable region	可变区	kě biàn qū
variation	变异	biàn yì
vector	媒介	méi jiè
vein	静脉	jìng mài
vena cava	腔静脉	qiāng jìng mài
ventricle	心室	xīn shì
venule	小静脉	xiǎo jìng mài
Venus fly trap	捕蝇草	bǔ yíng cǎo
vesicle	囊泡	náng pào
