english	简体中文	pinyin
epidermis	表皮	biǎo pí
epithelium	上皮	shàng pí
ethanol	乙醇	yǐ chún
ethical	伦理	lún lǐ
eutrophication	富营养化	fù yíng yǎng huà
evaporates	蒸发	zhēng fā
evolutionary relationships	进化关系	jìn huà guān xì
excretion	排泄	pái xiè
exhaling	呼气	hū qì
exoskeleton	外骨骼	wài gǔ gé
exponential phase	对数期	duì shù qī
express	表达	biǎo dá
expresses	表达	biǎo dá
extinction	灭绝	miè jué
faeces	粪便	fèn biàn
fats	脂肪	zhī fáng
fatty acids	脂肪酸	zhī fáng suān
fatty tissue	脂肪组织	zhī fáng zǔ zhī
feathers	羽毛	yǔ máo
fermenter	发酵罐	fā jiào guàn
ferns	蕨类植物	jué lèi zhí wù
fertile offspring	可育后代	kě yù hòu dài
fertilisation	受精	shòu jīng
fertilisers	化肥	huà féi
fetus	胎儿	tāi ér
fibre	膳食纤维	shàn shí xiān wéi
fibrin	纤维蛋白	xiān wéi dàn bái
fibrinogen	纤维蛋白原	xiān wéi dàn bái yuán
filament	花丝	huā sī
filtration	过滤	guò lǜ
fins	鳍	qí
fish	鱼类	yú lèi
flaccid	松软	sōng ruǎn
flagellum	鞭毛	biān máo
flowering plants	开花植物	kāi huā zhí wù
food chain	食物链	shí wù liàn
food chains	食物链	shí wù liàn
food web	食物网	shí wù wǎng
food webs	食物网	shí wù wǎng
forces of attraction	吸引力	xī yǐn lì
foreign species	外来物种	wài lái wù zhǒng
fossil fuels	化石燃料	huà shí rán liào
fovea	中央凹	zhōng yāng āo
fungus	真菌	zhēn jūn
fur	毛发	máo fà
fusion	融合	róng hé
gall bladder	胆囊	dǎn náng
gametes	配子	pèi zi
gas exchange	气体交换	qì tǐ jiāo huàn
gases	气体	qì tǐ
gastric juice	胃液	wèi yè
gene mutation	基因突变	jī yīn tū biàn
genes	基因	jī yīn
genetic material	遗传物质	yí chuán wù zhì
genetic modification	基因改造	jī yīn gǎi zào
genetic variation	变异	biàn yì
genotype	基因型	jī yīn xíng
genus	属	shǔ
germinate	萌发	méng fā
gills	鳃	sāi
gland	腺体	xiàn tǐ
glomerulus	肾小球	shèn xiǎo qiú
glucagon	胰高血糖素	yí gāo xuè táng sù
glucose	葡萄糖	pú táo táng
glycerol	甘油	gān yóu
glycogen	糖原	táng yuán
goblet cells	杯状细胞	bēi zhuàng xì bāo
gravitropism	向地性	xiàng dì xìng
gravity	重力	zhòng lì
greenhouse effect	温室效应	wēn shì xiào yìng
growth	生长	shēng zhǎng
guard cells	保卫细胞	bǎo wèi xì bāo
gums	牙龈	yá yín
habitats	栖息地	qī xī dì
haemoglobin	血红蛋白	xuè hóng dàn bái
hair erector muscles	立毛肌	lì máo jī
haploid	单倍体	dān bèi tǐ
heart	心脏	xīn zàng
heart rate	心率	xīn lǜ
hepatic artery	肝动脉	gān dòng mài
hepatic portal vein	肝门静脉	gān mén jìng mài
hepatic vein	肝静脉	gān jìng mài
herbicides	除草剂	chú cǎo jì
herbivore	食草动物	shí cǎo dòng wù
heterozygous	杂合子	zá hé zǐ
homeostasis	稳态	wěn tài
homozygous	纯合子	chún hé zǐ
hormone	激素	jī sù
hormones	激素	jī sù
host	宿主	sù zhǔ
humidity	湿度	shī dù
hunting	狩猎	shòu liè
hydrochloric acid	盐酸	yán suān
hydrogen	氢	qīng
hydrophytes	水生植物	shuǐ shēng zhí wù
hygienic	卫生	wèi shēng
ileum	回肠	huí cháng
implants	植入	zhí rù
in vitro fertilisation	体外受精	tǐ wài shòu jīng
incisors	门齿	mén chǐ
indicator	指示剂	zhǐ shì jì
infants	婴儿	yīng ér
infection	感染	gǎn rǎn
infections	感染	gǎn rǎn
ingestion	摄入	shè rù
inhaling	吸气	xī qì
inheritance	遗传	yí chuán
inherited	遗传	yí chuán
insecticides	杀虫剂	shā chóng jì
insects	昆虫	kūn chóng
insoluble	不溶性	bù róng xìng
insulation	隔热	gé rè
insulin	胰岛素	yí dǎo sù
intercostal muscles	肋间肌	lē jiān jī
introduced species	外来物种	wài lái wù zhǒng
iodine solution	碘液	diǎn yè
ionising radiation	电离辐射	diàn lí fú shè
ions	离子	lí zi
iris	虹膜	hóng mó
iron	铁	tiě
jelly coat	胶质层	jiāo zhì céng
joints	关节	guān jié
kidneys	肾脏	shèn zàng
kinetic energy	动能	dòng néng
kingdoms	界	jiè
lactase	乳糖酶	rǔ táng méi
lacteal	乳糜管	rǔ mí guǎn
lactic acid	乳酸	rǔ suān
lactose	乳糖	rǔ táng
lag phase	延迟期	yán chí qī
large intestine	大肠	dà cháng
larynx	喉	hóu
leaf veins	叶脉	yè mài
lens	晶状体	jīng zhuàng tǐ
life processes	生命过程	shēng mìng guò chéng
ligase	连接酶	lián jiē méi
light intensity	光照强度	guāng zhào qiáng dù
lignin	木质素	mù zhì sù
limewater	石灰水	shí huī shuǐ
limiting factor	限制因素	xiàn zhì yīn sù
lipase	脂肪酶	zhī fáng méi
liver	肝脏	gān zàng
livestock	牲畜	shēng chù
lumen	管腔	guǎn qiāng
lymphocytes	淋巴细胞	lín bā xì bāo
magnesium ions	镁离子	měi lí zi
magnification	放大倍数	fàng dà bèi shù
maltase	麦芽糖酶	mài yá táng méi
maltose	麦芽糖	mài yá táng
mammal	哺乳动物	bǔ rǔ dòng wù
mammals	哺乳动物	bǔ rǔ dòng wù
many offspring	后代	hòu dài
medulla	髓质	suǐ zhì
meiosis	减数分裂	jiǎn shù fēn liè
memory cells	记忆细胞	jì yì xì bāo
menstrual cycle	月经周期	yuè jīng zhōu qī
mesophyll	叶肉	yè ròu
messenger	信使	xìn shǐ
metabolism	新陈代谢	xīn chén dài xiè
methane	甲烷	jiǎ wán
micrometres	微米	wēi mǐ
microorganisms	微生物	wēi shēng wù
microscope	显微镜	xiǎn wēi jìng
microvilli	微绒毛	wēi róng máo
mineral ions	矿物质离子	kuàng wù zhì lí zi
mitochondria	线粒体	xiàn lì tǐ
mitosis	有丝分裂	yǒu sī fēn liè
molars	臼齿	jiù chǐ
molecule	分子	fèn zǐ
molecules	分子	fèn zǐ
monocotyledons	单子叶植物	dān zi yè zhí wù
monoculture	单一栽培	dān yī zāi péi
motor neurones	运动神经元	yùn dòng shén jīng yuán
moulds	霉菌	méi jūn
movement	运动	yùn dòng
mucus	黏液	nián yè
muscle	肌肉	jī ròu
mushrooms	蘑菇	mó gū
mutation	突变	tū biàn
mycoprotein	真菌蛋白	zhēn jūn dàn bái
myriapods	多足类	duō zú lèi
natural selection	自然选择	zì rán xuǎn zé
nectar	花蜜	huā mì
negative feedback	负反馈	fù fǎn kuì
nephrons	肾单位	shèn dān wèi
nerve impulses	神经冲动	shén jīng chōng dòng
nerves	神经	shén jīng
nervous system	神经系统	shén jīng xì tǒng
net movement	净移动	jìng yí dòng
neurones	神经元	shén jīng yuán
neurotransmitter	神经递质	shén jīng dì zhì
neurotransmitters	神经递质	shén jīng dì zhì
neutralises	中和	zhōng hé
nitrate ions	硝酸根离子	xiāo suān gēn lí zi
nitrification	硝化作用	xiāo huà zuò yòng
nitrogen	氮	dàn
nitrogen cycle	氮循环	dàn xún huán
nitrogen fixation	固氮作用	gù dàn zuò yòng
non-biodegradable	不可降解	bù kě jiàng jiě
nuclei	细胞核	xì bāo hé
nucleus	细胞核	xì bāo hé
nutrient molecules	营养物质	yíng yǎng wù zhì
nutrients	营养物质	yíng yǎng wù zhì
nutrition	营养	yíng yǎng
oesophagus	食道	shí dào
oestrogen	雌激素	cí jī sù
offspring	后代	hòu dài
optic nerve	视神经	shì shén jīng
optimum temperature	最适温度	zuì shì wēn dù
organ	器官	qì guān
organ system	器官系统	qì guān xì tǒng
organism	生物体	shēng wù tǐ
organisms	生物体	shēng wù tǐ
osmosis	渗透	shèn tòu
ovaries	卵巢	luǎn cháo
ovary	子房	zi fáng
overharvesting	过度捕捞	guò dù bǔ lāo
oviducts	输卵管	shū luǎn guǎn
ovulation	排卵	pái luǎn
ovules	胚珠	pēi zhū
oxygen	氧气	yǎng qì
oxygen debt	氧债	yǎng zhài
oxygenated blood	含氧血	hán yǎng xuè
palisade mesophyll	栅栏叶肉	zhà lán yè ròu
palisade mesophyll cells	栅栏叶肉细胞	zhà lán yè ròu xì bāo
pancreas	胰腺	yí xiàn
parent	亲本	qīn běn
partially permeable membrane	半透膜	bàn tòu mó
particles	粒子	lì zi
passive immunity	被动免疫	bèi dòng miǎn yì
pathogen	病原体	bìng yuán tǐ
pathogens	病原体	bìng yuán tǐ
pectinase	果胶酶	guǒ jiāo méi
pedigree diagram	系谱图	xì pǔ tú
penicillin	青霉素	qīng méi sù
penis	阴茎	yīn jīng
pepsin	胃蛋白酶	wèi dàn bái méi
peripheral nervous system	周围神经系统	zhōu wéi shén jīng xì tǒng
petals	花瓣	huā bàn
phagocytes	吞噬细胞	tūn shì xì bāo
phagocytosis	吞噬作用	tūn shì zuò yòng
phenotype	表现型	biǎo xiàn xíng
phenotypes	表现型	biǎo xiàn xíng
phloem	韧皮部	rèn pí bù
photosynthesis	光合作用	guāng hé zuò yòng
phototropism	向光性	xiàng guāng xìng
pigment	色素	sè sù
placenta	胎盘	tāi pán
plant	植物	zhí wù
plasma	血浆	xuè jiāng
plasmids	质粒	zhì lì
plasmolysis	质壁分离	zhì bì fēn lí
plastics	塑料	sù liào
platelets	血小板	xuè xiǎo bǎn
pollen grains	花粉粒	huā fěn lì
pollen tube	花粉管	huā fěn guǎn
pollination	传粉	chuán fěn
pollinators	传粉者	chuán fěn zhě
pollution	污染	wū rǎn
population	种群	zhǒng qún
predation	捕食	bǔ shí
pregnancy	怀孕	huái yùn
premolars	前臼齿	qián jiù chǐ
pressure	压力	yā lì
producer	生产者	shēng chǎn zhě
producers	生产者	shēng chǎn zhě
products	产物	chǎn wù
progesterone	孕酮	yùn tóng
prokaryote	原核生物	yuán hé shēng wù
prostate gland	前列腺	qián liè xiàn
protease	蛋白酶	dàn bái méi
protein	蛋白质	dàn bái zhì
protein carriers	载体蛋白	zài tǐ dàn bái
protein coat	蛋白质外壳	dàn bái zhì wài ké
protein synthesis	蛋白质合成	dàn bái zhì hé chéng
proteins	蛋白质	dàn bái zhì
protoctist	原生生物	yuán shēng shēng wù
puberty	青春期	qīng chūn qī
pulmonary artery	肺动脉	fèi dòng mài
pulmonary vein	肺静脉	fèi jìng mài
pulp	牙髓	yá suǐ
pulse	脉搏	mài bó
pump	泵	bèng
Punnett square	庞纳特方格	páng nà tè fāng gé
pupil	瞳孔	tóng kǒng
pure-breeding	纯种	chún zhǒng
pyramid	金字塔	jīn zì tǎ
quotas	配额	pèi é
radial muscles	辐射肌	fú shè jī
random movement	随机运动	suí jī yùn dòng
rate	速率	sù lǜ
ratio	比例	bǐ lì
raw materials	原料	yuán liào
reabsorption	重吸收	zhòng xī shōu
receptor	感受器	gǎn shòu qì
receptor proteins	受体蛋白	shòu tǐ dàn bái
recessive	隐性	yǐn xìng
recombinant plasmid	重组质粒	chóng zǔ zhì lì
rectum	直肠	zhí cháng
red blood cells	红细胞	hóng xì bāo
reducing sugars	还原糖	huán yuán táng
reflex	反射	fǎn shè
reflex arc	反射弧	fǎn shè hú
refracts	折射	zhé shè
regulates	调节	tiáo jié
relay neurones	中间神经元	zhōng jiān shén jīng yuán
renal artery	肾动脉	shèn dòng mài
renal cortex	皮质	pí zhì
renal vein	肾静脉	shèn jìng mài
replication	复制	fù zhì
reproduce	生殖	shēng zhí
reproduction	生殖	shēng zhí
reptiles	爬行动物	pá xíng dòng wù
resistance	抗性	kàng xìng
resistant	耐药	nài yào
resources	资源	zī yuán
respiration	呼吸作用	hū xī zuò yòng
response	反应	fǎn yìng
restriction enzymes	限制酶	xiàn zhì méi
retina	视网膜	shì wǎng mó
ribosome	核糖体	hé táng tǐ
ribosomes	核糖体	hé táng tǐ
ribs	肋骨	lèi gǔ
rickets	佝偻病	gōu lóu bìng
risk factors	风险因素	fēng xiǎn yīn sù
rods	视杆细胞	shì gān xì bāo
root hair cells	根毛细胞	gēn máo xì bāo
root hairs	根毛	gēn máo
salivary glands	唾液腺	tuò yè xiàn
scales	鳞片	lín piàn
scientific name	学名	xué míng
scrotum	阴囊	yīn náng
scurvy	坏血病	huài xuè bìng
secondary sexual characteristics	第二性征	dì èr xìng zhēng
seed	种子	zhǒng zi
seed banks	种子库	zhǒng zi kù
seeds	种子	zhǒng zi
segments	体节	tǐ jié
selective breeding	选择育种	xuǎn zé yù zhǒng
self-pollination	自花传粉	zì huā chuán fěn
semilunar valves	半月瓣	bàn yuè bàn
sense organs	感觉器官	gǎn jué qì guān
sensitivity	应激性	yīng jī xìng
sensory neurones	感觉神经元	gǎn jué shén jīng yuán
sepals	萼片	è piàn
septum	隔膜	gé mó
set point	设定点	shè dìng diǎn
sewage	污水	wū shuǐ
sewage treatment	污水处理	wū shuǐ chǔ lǐ
sex chromosomes	性染色体	xìng rǎn sè tǐ
sex-linked	伴性遗传	bàn xìng yí chuán
sexual reproduction	有性生殖	yǒu xìng shēng zhí
sexually transmitted infection	性传播感染	xìng chuán bō gǎn rǎn
shiver	颤抖	chàn dǒu
shoot	嫩枝	nèn zhī
single circulation	单循环	dān xún huán
single-celled	单细胞	dān xì bāo
sinks	库	kù
small intestine	小肠	xiǎo cháng
soluble	可溶性	kě róng xìng
solutes	溶质	róng zhì
solution	溶液	róng yè
solvent	溶剂	róng jì
sources	源	yuán
specialised cells	特化细胞	tè huà xì bāo
species	物种	wù zhǒng
specific	专一	zhuān yī
specimen	标本	biāo běn
sperm	精子	jīng zi
sperm ducts	输精管	shū jīng guǎn
spinal cord	脊髓	jí suǐ
spongy mesophyll	海绵叶肉	hǎi mián yè ròu
spores	孢子	bāo zǐ
stain	染色剂	rǎn sè jì
stamens	雄蕊	xióng ruǐ
starch	淀粉	diàn fěn
stationary phase	稳定期	wěn dìng qī
stem cells	干细胞	gàn xì bāo
sticky ends	黏性末端	nián xìng mò duān
stigma	柱头	zhù tóu
stimulus	刺激	cì jī
stomach	胃	wèi
stomach acid	胃酸	wèi suān
stomata	气孔	qì kǒng
strands	链	liàn
style	花柱	huā zhù
substrate	底物	dǐ wù
sucrose	蔗糖	zhè táng
support	支撑	zhī chēng
surface area	表面积	biǎo miàn jī
survive	生存	shēng cún
suspensory ligaments	悬韧带	xuán rèn dài
sustainable	可持续	kě chí xù
sweat glands	汗腺	hàn xiàn
sweating	出汗	chū hàn
synapse	突触	tū chù
synaptic gap	突触间隙	tū chù jiàn xì
target organs	靶器官	bǎ qì guān
teeth	牙齿	yá chǐ
temperature	温度	wēn dù
test cross	测交	cè jiāo
testes	睾丸	gāo wán
testosterone	睾酮	gāo tóng
thorax	胸腔	xiōng qiāng
tissue	组织	zǔ zhī
toxic	有毒	yǒu dú
toxin	毒素	dú sù
toxins	毒素	dú sù
trachea	气管	qì guǎn
translocation	转运	zhuǎn yùn
transmissible disease	传染病	chuán rǎn bìng
transmitted	传播	chuán bō
transpiration	蒸腾作用	zhēng téng zuò yòng
transpiration pull	蒸腾拉力	zhēng téng lā lì
transport	运输	yùn shū
trophic level	营养级	yíng yǎng jí
tropism	向性	xiàng xìng
trypsin	胰蛋白酶	yí dàn bái méi
turgid	膨胀	péng zhàng
turgor pressure	膨压	péng yā
umbilical cord	脐带	qí dài
urea	尿素	niào sù
ureters	输尿管	shū niào guǎn
urethra	尿道	niào dào
urine	尿液	niào yè
uterus	子宫	zi gōng
vaccination	疫苗接种	yì miáo jiē zhǒng
vacuole	液泡	yè pào
vagina	阴道	yīn dào
valves	瓣膜	bàn mó
variation	变异	biàn yì
vascular bundles	维管束	wéi guǎn shù
vasoconstriction	血管收缩	xuè guǎn shōu suō
vasodilation	血管舒张	xuè guǎn shū zhāng
veins	静脉	jìng mài
vena cava	腔静脉	qiāng jìng mài
ventilation	通气	tōng qì
ventricle	心室	xīn shì
vertebrates	脊椎动物	jǐ zhuī dòng wù
vesicles	囊泡	náng pào
vessels	导管	dǎo guǎn
villi	绒毛	róng máo
virus	病毒	bìng dú
viruses	病毒	bìng dú
vision	视觉	shì jué
vitamin	维生素	wéi shēng sù
washing powders	洗衣粉	xǐ yī fěn
waste products	废物	fèi wù
water potential	水势	shuǐ shì
water vapour	水蒸气	shuǐ zhēng qì
weeds	杂草	zá cǎo
white blood cells	白细胞	bái xì bāo
wilts	萎蔫	wēi niān
wind speed	风速	fēng sù
xerophytes	旱生植物	hàn shēng zhí wù
xylem	木质部	mù zhì bù
yeast	酵母	jiào mǔ
yields	产量	chǎn liàng
zygote	合子	hé zǐ
